,County,COVID Hospitalizations,Date
0,WASHINGTON,4,2020-07-18
1,WALTON,9,2020-07-18
2,VOLUSIA,171,2020-07-18
3,UNION,0,2020-07-18
4,TAYLOR,0,2020-07-18
5,SUWANNEE,0,2020-07-18
6,SUMTER,30,2020-07-18
7,ST. LUCIE,138,2020-07-18
8,ST. JOHNS,32,2020-07-18
9,SEMINOLE,171,2020-07-18
10,SARASOTA,143,2020-07-18
11,SANTA ROSA,19,2020-07-18
12,PUTNAM,15,2020-07-18
13,POLK,299,2020-07-18
14,PINELLAS,443,2020-07-18
15,PASCO,130,2020-07-18
16,PALM BEACH,594,2020-07-18
17,OSCEOLA,183,2020-07-18
18,ORANGE,619,2020-07-18
19,OKEECHOBEE,17,2020-07-18
20,OKALOOSA,49,2020-07-18
21,NASSAU,5,2020-07-18
22,MONROE,15,2020-07-18
23,MIAMI-DADE,1935,2020-07-18
24,MARTIN,33,2020-07-18
25,MARION,63,2020-07-18
26,MANATEE,104,2020-07-18
27,MADISON,1,2020-07-18
28,LEON,74,2020-07-18
29,LEE,258,2020-07-18
30,LAKE,134,2020-07-18
31,JACKSON,31,2020-07-18
32,INDIAN RIVER,26,2020-07-18
33,HOLMES,1,2020-07-18
34,HILLSBOROUGH,464,2020-07-18
35,HIGHLANDS,64,2020-07-18
36,HERNANDO,93,2020-07-18
37,HENDRY,3,2020-07-18
38,HARDEE,0,2020-07-18
39,GULF,2,2020-07-18
40,GADSDEN,5,2020-07-18
41,FRANKLIN,0,2020-07-18
42,FLAGLER,19,2020-07-18
43,ESCAMBIA,181,2020-07-18
44,DUVAL,475,2020-07-18
45,DESOTO,5,2020-07-18
46,COLUMBIA,25,2020-07-18
47,COLLIER,195,2020-07-18
48,CLAY,82,2020-07-18
49,CITRUS,24,2020-07-18
50,CHARLOTTE,36,2020-07-18
51,CALHOUN,2,2020-07-18
52,BROWARD,1197,2020-07-18
53,BREVARD,142,2020-07-18
54,BRADFORD,0,2020-07-18
55,BAY,79,2020-07-18
56,BAKER,33,2020-07-18
57,ALACHUA,116,2020-07-18
