,County,COVID Hospitalizations,Date
0,WASHINGTON,6,2020-12-21
1,WALTON,15,2020-12-21
2,VOLUSIA,104,2020-12-21
3,UNION,0,2020-12-21
4,TAYLOR,0,2020-12-21
5,SUWANNEE,0,2020-12-21
6,SUMTER,42,2020-12-21
7,ST. LUCIE,101,2020-12-21
8,ST. JOHNS,27,2020-12-21
9,SEMINOLE,77,2020-12-21
10,SARASOTA,122,2020-12-21
11,SANTA ROSA,21,2020-12-21
12,PUTNAM,20,2020-12-21
13,POLK,193,2020-12-21
14,PINELLAS,249,2020-12-21
15,PASCO,161,2020-12-21
16,PALM BEACH,303,2020-12-21
17,OSCEOLA,131,2020-12-21
18,ORANGE,295,2020-12-21
19,OKEECHOBEE,8,2020-12-21
20,OKALOOSA,46,2020-12-21
21,NASSAU,11,2020-12-21
22,MONROE,6,2020-12-21
23,MIAMI-DADE,999,2020-12-21
24,MARTIN,32,2020-12-21
25,MARION,94,2020-12-21
26,MANATEE,74,2020-12-21
27,MADISON,0,2020-12-21
28,LEON,69,2020-12-21
29,LEE,114,2020-12-21
30,LAKE,98,2020-12-21
31,JACKSON,11,2020-12-21
32,INDIAN RIVER,18,2020-12-21
33,HOLMES,5,2020-12-21
34,HILLSBOROUGH,339,2020-12-21
35,HIGHLANDS,54,2020-12-21
36,HERNANDO,66,2020-12-21
37,HENDRY,5,2020-12-21
38,HARDEE,0,2020-12-21
39,GULF,2,2020-12-21
40,GADSDEN,0,2020-12-21
41,FRANKLIN,0,2020-12-21
42,FLAGLER,12,2020-12-21
43,ESCAMBIA,130,2020-12-21
44,DUVAL,313,2020-12-21
45,DESOTO,4,2020-12-21
46,COLUMBIA,24,2020-12-21
47,COLLIER,77,2020-12-21
48,CLAY,72,2020-12-21
49,CITRUS,40,2020-12-21
50,CHARLOTTE,96,2020-12-21
51,CALHOUN,0,2020-12-21
52,BROWARD,514,2020-12-21
53,BREVARD,91,2020-12-21
54,BRADFORD,0,2020-12-21
55,BAY,75,2020-12-21
56,BAKER,2,2020-12-21
57,ALACHUA,140,2020-12-21
