,County,COVID Hospitalizations,Date
0,WASHINGTON,2,2020-11-27
1,WALTON,9,2020-11-27
2,VOLUSIA,84,2020-11-27
3,UNION,1,2020-11-27
4,TAYLOR,0,2020-11-27
5,SUWANNEE,0,2020-11-27
6,SUMTER,17,2020-11-27
7,ST. LUCIE,66,2020-11-27
8,ST. JOHNS,15,2020-11-27
9,SEMINOLE,53,2020-11-27
10,SARASOTA,80,2020-11-27
11,SANTA ROSA,15,2020-11-27
12,PUTNAM,8,2020-11-27
13,POLK,120,2020-11-27
14,PINELLAS,167,2020-11-27
15,PASCO,123,2020-11-27
16,PALM BEACH,287,2020-11-27
17,OSCEOLA,96,2020-11-27
18,ORANGE,147,2020-11-27
19,OKEECHOBEE,10,2020-11-27
20,OKALOOSA,43,2020-11-27
21,NASSAU,2,2020-11-27
22,MONROE,8,2020-11-27
23,MIAMI-DADE,571,2020-11-27
24,MARTIN,21,2020-11-27
25,MARION,51,2020-11-27
26,MANATEE,46,2020-11-27
27,MADISON,0,2020-11-27
28,LEON,35,2020-11-27
29,LEE,118,2020-11-27
30,LAKE,57,2020-11-27
31,JACKSON,27,2020-11-27
32,INDIAN RIVER,13,2020-11-27
33,HOLMES,1,2020-11-27
34,HILLSBOROUGH,232,2020-11-27
35,HIGHLANDS,46,2020-11-27
36,HERNANDO,61,2020-11-27
37,HENDRY,1,2020-11-27
38,HARDEE,0,2020-11-27
39,GULF,0,2020-11-27
40,GADSDEN,0,2020-11-27
41,FRANKLIN,0,2020-11-27
42,FLAGLER,8,2020-11-27
43,ESCAMBIA,82,2020-11-27
44,DUVAL,183,2020-11-27
45,DESOTO,5,2020-11-27
46,COLUMBIA,20,2020-11-27
47,COLLIER,71,2020-11-27
48,CLAY,47,2020-11-27
49,CITRUS,66,2020-11-27
50,CHARLOTTE,47,2020-11-27
51,CALHOUN,0,2020-11-27
52,BROWARD,378,2020-11-27
53,BREVARD,72,2020-11-27
54,BRADFORD,0,2020-11-27
55,BAY,30,2020-11-27
56,BAKER,0,2020-11-27
57,ALACHUA,104,2020-11-27
