,County,COVID Hospitalizations,Date
0,WASHINGTON,1,2020-10-02
1,WALTON,3,2020-10-02
2,VOLUSIA,41,2020-10-02
3,UNION,14,2020-10-02
4,TAYLOR,0,2020-10-02
5,SUWANNEE,0,2020-10-02
6,SUMTER,12,2020-10-02
7,ST. LUCIE,51,2020-10-02
8,ST. JOHNS,14,2020-10-02
9,SEMINOLE,31,2020-10-02
10,SARASOTA,16,2020-10-02
11,SANTA ROSA,4,2020-10-02
12,PUTNAM,8,2020-10-02
13,POLK,85,2020-10-02
14,PINELLAS,95,2020-10-02
15,PASCO,37,2020-10-02
16,PALM BEACH,106,2020-10-02
17,OSCEOLA,51,2020-10-02
18,ORANGE,115,2020-10-02
19,OKEECHOBEE,9,2020-10-02
20,OKALOOSA,16,2020-10-02
21,NASSAU,1,2020-10-02
22,MONROE,4,2020-10-02
23,MIAMI-DADE,281,2020-10-02
24,MARTIN,15,2020-10-02
25,MARION,30,2020-10-02
26,MANATEE,26,2020-10-02
27,MADISON,0,2020-10-02
28,LEON,49,2020-10-02
29,LEE,29,2020-10-02
30,LAKE,39,2020-10-02
31,JACKSON,9,2020-10-02
32,INDIAN RIVER,11,2020-10-02
33,HOLMES,0,2020-10-02
34,HILLSBOROUGH,144,2020-10-02
35,HIGHLANDS,26,2020-10-02
36,HERNANDO,17,2020-10-02
37,HENDRY,2,2020-10-02
38,HARDEE,0,2020-10-02
39,GULF,0,2020-10-02
40,GADSDEN,19,2020-10-02
41,FRANKLIN,0,2020-10-02
42,FLAGLER,8,2020-10-02
43,ESCAMBIA,36,2020-10-02
44,DUVAL,132,2020-10-02
45,DESOTO,0,2020-10-02
46,COLUMBIA,12,2020-10-02
47,COLLIER,21,2020-10-02
48,CLAY,31,2020-10-02
49,CITRUS,19,2020-10-02
50,CHARLOTTE,26,2020-10-02
51,CALHOUN,0,2020-10-02
52,BROWARD,207,2020-10-02
53,BREVARD,78,2020-10-02
54,BRADFORD,0,2020-10-02
55,BAY,21,2020-10-02
56,BAKER,2,2020-10-02
57,ALACHUA,59,2020-10-02
