,County,COVID Hospitalizations,Date
0,WASHINGTON,7,2020-12-14
1,WALTON,10,2020-12-14
2,VOLUSIA,99,2020-12-14
3,UNION,0,2020-12-14
4,TAYLOR,0,2020-12-14
5,SUWANNEE,0,2020-12-14
6,SUMTER,28,2020-12-14
7,ST. LUCIE,74,2020-12-14
8,ST. JOHNS,23,2020-12-14
9,SEMINOLE,67,2020-12-14
10,SARASOTA,111,2020-12-14
11,SANTA ROSA,13,2020-12-14
12,PUTNAM,18,2020-12-14
13,POLK,162,2020-12-14
14,PINELLAS,228,2020-12-14
15,PASCO,128,2020-12-14
16,PALM BEACH,291,2020-12-14
17,OSCEOLA,122,2020-12-14
18,ORANGE,250,2020-12-14
19,OKEECHOBEE,7,2020-12-14
20,OKALOOSA,51,2020-12-14
21,NASSAU,9,2020-12-14
22,MONROE,6,2020-12-14
23,MIAMI-DADE,875,2020-12-14
24,MARTIN,33,2020-12-14
25,MARION,66,2020-12-14
26,MANATEE,54,2020-12-14
27,MADISON,1,2020-12-14
28,LEON,43,2020-12-14
29,LEE,127,2020-12-14
30,LAKE,108,2020-12-14
31,JACKSON,19,2020-12-14
32,INDIAN RIVER,19,2020-12-14
33,HOLMES,5,2020-12-14
34,HILLSBOROUGH,289,2020-12-14
35,HIGHLANDS,57,2020-12-14
36,HERNANDO,56,2020-12-14
37,HENDRY,1,2020-12-14
38,HARDEE,0,2020-12-14
39,GULF,0,2020-12-14
40,GADSDEN,0,2020-12-14
41,FRANKLIN,0,2020-12-14
42,FLAGLER,9,2020-12-14
43,ESCAMBIA,128,2020-12-14
44,DUVAL,262,2020-12-14
45,DESOTO,4,2020-12-14
46,COLUMBIA,24,2020-12-14
47,COLLIER,96,2020-12-14
48,CLAY,57,2020-12-14
49,CITRUS,47,2020-12-14
50,CHARLOTTE,89,2020-12-14
51,CALHOUN,0,2020-12-14
52,BROWARD,486,2020-12-14
53,BREVARD,87,2020-12-14
54,BRADFORD,0,2020-12-14
55,BAY,62,2020-12-14
56,BAKER,6,2020-12-14
57,ALACHUA,117,2020-12-14
