,County,COVID Hospitalizations,Date
0,WASHINGTON,11,2021-01-04
1,WALTON,21,2021-01-04
2,VOLUSIA,116,2021-01-04
3,UNION,2,2021-01-04
4,TAYLOR,7,2021-01-04
5,SUWANNEE,0,2021-01-04
6,SUMTER,70,2021-01-04
7,ST. LUCIE,119,2021-01-04
8,ST. JOHNS,44,2021-01-04
9,SEMINOLE,126,2021-01-04
10,SARASOTA,118,2021-01-04
11,SANTA ROSA,41,2021-01-04
12,PUTNAM,11,2021-01-04
13,POLK,290,2021-01-04
14,PINELLAS,383,2021-01-04
15,PASCO,193,2021-01-04
16,PALM BEACH,398,2021-01-04
17,OSCEOLA,168,2021-01-04
18,ORANGE,407,2021-01-04
19,OKEECHOBEE,20,2021-01-04
20,OKALOOSA,60,2021-01-04
21,NASSAU,15,2021-01-04
22,MONROE,2,2021-01-04
23,MIAMI-DADE,1074,2021-01-04
24,MARTIN,36,2021-01-04
25,MARION,153,2021-01-04
26,MANATEE,87,2021-01-04
27,MADISON,2,2021-01-04
28,LEON,102,2021-01-04
29,LEE,142,2021-01-04
30,LAKE,179,2021-01-04
31,JACKSON,17,2021-01-04
32,INDIAN RIVER,46,2021-01-04
33,HOLMES,5,2021-01-04
34,HILLSBOROUGH,461,2021-01-04
35,HIGHLANDS,58,2021-01-04
36,HERNANDO,96,2021-01-04
37,HENDRY,9,2021-01-04
38,HARDEE,0,2021-01-04
39,GULF,4,2021-01-04
40,GADSDEN,0,2021-01-04
41,FRANKLIN,0,2021-01-04
42,FLAGLER,21,2021-01-04
43,ESCAMBIA,192,2021-01-04
44,DUVAL,470,2021-01-04
45,DESOTO,9,2021-01-04
46,COLUMBIA,31,2021-01-04
47,COLLIER,88,2021-01-04
48,CLAY,122,2021-01-04
49,CITRUS,59,2021-01-04
50,CHARLOTTE,99,2021-01-04
51,CALHOUN,0,2021-01-04
52,BROWARD,600,2021-01-04
53,BREVARD,134,2021-01-04
54,BRADFORD,0,2021-01-04
55,BAY,90,2021-01-04
56,BAKER,3,2021-01-04
57,ALACHUA,222,2021-01-04
