,County,COVID Hospitalizations,Date
0,WASHINGTON,3,2020-07-24
1,WALTON,7,2020-07-24
2,VOLUSIA,140,2020-07-24
3,UNION,0,2020-07-24
4,TAYLOR,0,2020-07-24
5,SUWANNEE,0,2020-07-24
6,SUMTER,28,2020-07-24
7,ST. LUCIE,169,2020-07-24
8,ST. JOHNS,38,2020-07-24
9,SEMINOLE,152,2020-07-24
10,SARASOTA,146,2020-07-24
11,SANTA ROSA,28,2020-07-24
12,PUTNAM,17,2020-07-24
13,POLK,284,2020-07-24
14,PINELLAS,424,2020-07-24
15,PASCO,126,2020-07-24
16,PALM BEACH,569,2020-07-24
17,OSCEOLA,216,2020-07-24
18,ORANGE,592,2020-07-24
19,OKEECHOBEE,11,2020-07-24
20,OKALOOSA,49,2020-07-24
21,NASSAU,4,2020-07-24
22,MONROE,20,2020-07-24
23,MIAMI-DADE,1994,2020-07-24
24,MARTIN,37,2020-07-24
25,MARION,97,2020-07-24
26,MANATEE,123,2020-07-24
27,MADISON,0,2020-07-24
28,LEON,78,2020-07-24
29,LEE,233,2020-07-24
30,LAKE,98,2020-07-24
31,JACKSON,27,2020-07-24
32,INDIAN RIVER,23,2020-07-24
33,HOLMES,1,2020-07-24
34,HILLSBOROUGH,582,2020-07-24
35,HIGHLANDS,57,2020-07-24
36,HERNANDO,88,2020-07-24
37,HENDRY,12,2020-07-24
38,HARDEE,0,2020-07-24
39,GULF,2,2020-07-24
40,GADSDEN,34,2020-07-24
41,FRANKLIN,0,2020-07-24
42,FLAGLER,22,2020-07-24
43,ESCAMBIA,192,2020-07-24
44,DUVAL,498,2020-07-24
45,DESOTO,3,2020-07-24
46,COLUMBIA,33,2020-07-24
47,COLLIER,161,2020-07-24
48,CLAY,85,2020-07-24
49,CITRUS,27,2020-07-24
50,CHARLOTTE,62,2020-07-24
51,CALHOUN,2,2020-07-24
52,BROWARD,1272,2020-07-24
53,BREVARD,142,2020-07-24
54,BRADFORD,0,2020-07-24
55,BAY,85,2020-07-24
56,BAKER,33,2020-07-24
57,ALACHUA,127,2020-07-24
