,County,COVID Hospitalizations,Date
0,WASHINGTON,0,2020-10-30
1,WALTON,5,2020-10-30
2,VOLUSIA,58,2020-10-30
3,UNION,8,2020-10-30
4,TAYLOR,0,2020-10-30
5,SUWANNEE,0,2020-10-30
6,SUMTER,9,2020-10-30
7,ST. LUCIE,46,2020-10-30
8,ST. JOHNS,9,2020-10-30
9,SEMINOLE,42,2020-10-30
10,SARASOTA,44,2020-10-30
11,SANTA ROSA,4,2020-10-30
12,PUTNAM,5,2020-10-30
13,POLK,80,2020-10-30
14,PINELLAS,128,2020-10-30
15,PASCO,55,2020-10-30
16,PALM BEACH,151,2020-10-30
17,OSCEOLA,81,2020-10-30
18,ORANGE,133,2020-10-30
19,OKEECHOBEE,5,2020-10-30
20,OKALOOSA,24,2020-10-30
21,NASSAU,1,2020-10-30
22,MONROE,4,2020-10-30
23,MIAMI-DADE,310,2020-10-30
24,MARTIN,7,2020-10-30
25,MARION,27,2020-10-30
26,MANATEE,20,2020-10-30
27,MADISON,0,2020-10-30
28,LEON,43,2020-10-30
29,LEE,66,2020-10-30
30,LAKE,32,2020-10-30
31,JACKSON,5,2020-10-30
32,INDIAN RIVER,10,2020-10-30
33,HOLMES,3,2020-10-30
34,HILLSBOROUGH,163,2020-10-30
35,HIGHLANDS,34,2020-10-30
36,HERNANDO,31,2020-10-30
37,HENDRY,1,2020-10-30
38,HARDEE,0,2020-10-30
39,GULF,1,2020-10-30
40,GADSDEN,4,2020-10-30
41,FRANKLIN,0,2020-10-30
42,FLAGLER,7,2020-10-30
43,ESCAMBIA,41,2020-10-30
44,DUVAL,130,2020-10-30
45,DESOTO,0,2020-10-30
46,COLUMBIA,15,2020-10-30
47,COLLIER,48,2020-10-30
48,CLAY,21,2020-10-30
49,CITRUS,21,2020-10-30
50,CHARLOTTE,37,2020-10-30
51,CALHOUN,1,2020-10-30
52,BROWARD,222,2020-10-30
53,BREVARD,68,2020-10-30
54,BRADFORD,0,2020-10-30
55,BAY,21,2020-10-30
56,BAKER,2,2020-10-30
57,ALACHUA,66,2020-10-30
