,County,COVID Hospitalizations,Date
0,WASHINGTON,9,2020-12-30
1,WALTON,15,2020-12-30
2,VOLUSIA,98,2020-12-30
3,UNION,1,2020-12-30
4,TAYLOR,0,2020-12-30
5,SUWANNEE,0,2020-12-30
6,SUMTER,62,2020-12-30
7,ST. LUCIE,112,2020-12-30
8,ST. JOHNS,30,2020-12-30
9,SEMINOLE,98,2020-12-30
10,SARASOTA,135,2020-12-30
11,SANTA ROSA,30,2020-12-30
12,PUTNAM,20,2020-12-30
13,POLK,211,2020-12-30
14,PINELLAS,306,2020-12-30
15,PASCO,173,2020-12-30
16,PALM BEACH,357,2020-12-30
17,OSCEOLA,138,2020-12-30
18,ORANGE,339,2020-12-30
19,OKEECHOBEE,10,2020-12-30
20,OKALOOSA,48,2020-12-30
21,NASSAU,15,2020-12-30
22,MONROE,3,2020-12-30
23,MIAMI-DADE,989,2020-12-30
24,MARTIN,40,2020-12-30
25,MARION,104,2020-12-30
26,MANATEE,71,2020-12-30
27,MADISON,1,2020-12-30
28,LEON,93,2020-12-30
29,LEE,132,2020-12-30
30,LAKE,146,2020-12-30
31,JACKSON,10,2020-12-30
32,INDIAN RIVER,55,2020-12-30
33,HOLMES,5,2020-12-30
34,HILLSBOROUGH,394,2020-12-30
35,HIGHLANDS,52,2020-12-30
36,HERNANDO,75,2020-12-30
37,HENDRY,6,2020-12-30
38,HARDEE,0,2020-12-30
39,GULF,5,2020-12-30
40,GADSDEN,0,2020-12-30
41,FRANKLIN,0,2020-12-30
42,FLAGLER,13,2020-12-30
43,ESCAMBIA,161,2020-12-30
44,DUVAL,414,2020-12-30
45,DESOTO,5,2020-12-30
46,COLUMBIA,26,2020-12-30
47,COLLIER,86,2020-12-30
48,CLAY,102,2020-12-30
49,CITRUS,46,2020-12-30
50,CHARLOTTE,108,2020-12-30
51,CALHOUN,0,2020-12-30
52,BROWARD,579,2020-12-30
53,BREVARD,97,2020-12-30
54,BRADFORD,0,2020-12-30
55,BAY,90,2020-12-30
56,BAKER,0,2020-12-30
57,ALACHUA,183,2020-12-30
