,County,COVID Hospitalizations,Date
0,WASHINGTON,2,2020-09-10
1,WALTON,4,2020-09-10
2,VOLUSIA,54,2020-09-10
3,UNION,18,2020-09-10
4,TAYLOR,0,2020-09-10
5,SUWANNEE,0,2020-09-10
6,SUMTER,12,2020-09-10
7,ST. LUCIE,58,2020-09-10
8,ST. JOHNS,12,2020-09-10
9,SEMINOLE,45,2020-09-10
10,SARASOTA,37,2020-09-10
11,SANTA ROSA,6,2020-09-10
12,PUTNAM,3,2020-09-10
13,POLK,116,2020-09-10
14,PINELLAS,127,2020-09-10
15,PASCO,28,2020-09-10
16,PALM BEACH,153,2020-09-10
17,OSCEOLA,54,2020-09-10
18,ORANGE,133,2020-09-10
19,OKEECHOBEE,8,2020-09-10
20,OKALOOSA,24,2020-09-10
21,NASSAU,5,2020-09-10
22,MONROE,3,2020-09-10
23,MIAMI-DADE,476,2020-09-10
24,MARTIN,13,2020-09-10
25,MARION,52,2020-09-10
26,MANATEE,10,2020-09-10
27,MADISON,0,2020-09-10
28,LEON,62,2020-09-10
29,LEE,87,2020-09-10
30,LAKE,51,2020-09-10
31,JACKSON,8,2020-09-10
32,INDIAN RIVER,9,2020-09-10
33,HOLMES,0,2020-09-10
34,HILLSBOROUGH,167,2020-09-10
35,HIGHLANDS,24,2020-09-10
36,HERNANDO,19,2020-09-10
37,HENDRY,3,2020-09-10
38,HARDEE,0,2020-09-10
39,GULF,1,2020-09-10
40,GADSDEN,87,2020-09-10
41,FRANKLIN,0,2020-09-10
42,FLAGLER,14,2020-09-10
43,ESCAMBIA,74,2020-09-10
44,DUVAL,156,2020-09-10
45,DESOTO,2,2020-09-10
46,COLUMBIA,14,2020-09-10
47,COLLIER,37,2020-09-10
48,CLAY,39,2020-09-10
49,CITRUS,29,2020-09-10
50,CHARLOTTE,23,2020-09-10
51,CALHOUN,0,2020-09-10
52,BROWARD,324,2020-09-10
53,BREVARD,70,2020-09-10
54,BRADFORD,0,2020-09-10
55,BAY,26,2020-09-10
56,BAKER,33,2020-09-10
57,ALACHUA,92,2020-09-10
