,County,COVID Hospitalizations,Date
0,WASHINGTON,2,2020-10-21
1,WALTON,7,2020-10-21
2,VOLUSIA,47,2020-10-21
3,UNION,15,2020-10-21
4,TAYLOR,0,2020-10-21
5,SUWANNEE,0,2020-10-21
6,SUMTER,11,2020-10-21
7,ST. LUCIE,45,2020-10-21
8,ST. JOHNS,6,2020-10-21
9,SEMINOLE,35,2020-10-21
10,SARASOTA,46,2020-10-21
11,SANTA ROSA,2,2020-10-21
12,PUTNAM,4,2020-10-21
13,POLK,80,2020-10-21
14,PINELLAS,114,2020-10-21
15,PASCO,40,2020-10-21
16,PALM BEACH,112,2020-10-21
17,OSCEOLA,81,2020-10-21
18,ORANGE,112,2020-10-21
19,OKEECHOBEE,4,2020-10-21
20,OKALOOSA,21,2020-10-21
21,NASSAU,3,2020-10-21
22,MONROE,8,2020-10-21
23,MIAMI-DADE,275,2020-10-21
24,MARTIN,5,2020-10-21
25,MARION,30,2020-10-21
26,MANATEE,28,2020-10-21
27,MADISON,0,2020-10-21
28,LEON,35,2020-10-21
29,LEE,63,2020-10-21
30,LAKE,35,2020-10-21
31,JACKSON,6,2020-10-21
32,INDIAN RIVER,8,2020-10-21
33,HOLMES,1,2020-10-21
34,HILLSBOROUGH,154,2020-10-21
35,HIGHLANDS,18,2020-10-21
36,HERNANDO,28,2020-10-21
37,HENDRY,1,2020-10-21
38,HARDEE,0,2020-10-21
39,GULF,0,2020-10-21
40,GADSDEN,7,2020-10-21
41,FRANKLIN,0,2020-10-21
42,FLAGLER,7,2020-10-21
43,ESCAMBIA,37,2020-10-21
44,DUVAL,115,2020-10-21
45,DESOTO,0,2020-10-21
46,COLUMBIA,20,2020-10-21
47,COLLIER,28,2020-10-21
48,CLAY,31,2020-10-21
49,CITRUS,18,2020-10-21
50,CHARLOTTE,27,2020-10-21
51,CALHOUN,0,2020-10-21
52,BROWARD,208,2020-10-21
53,BREVARD,65,2020-10-21
54,BRADFORD,0,2020-10-21
55,BAY,22,2020-10-21
56,BAKER,3,2020-10-21
57,ALACHUA,50,2020-10-21
