,County,COVID Hospitalizations,Date
0,WASHINGTON,4,2020-07-16
1,WALTON,8,2020-07-16
2,VOLUSIA,154,2020-07-16
3,UNION,0,2020-07-16
4,TAYLOR,0,2020-07-16
5,SUWANNEE,0,2020-07-16
6,SUMTER,29,2020-07-16
7,ST. LUCIE,127,2020-07-16
8,ST. JOHNS,29,2020-07-16
9,SEMINOLE,164,2020-07-16
10,SARASOTA,150,2020-07-16
11,SANTA ROSA,20,2020-07-16
12,PUTNAM,16,2020-07-16
13,POLK,297,2020-07-16
14,PINELLAS,434,2020-07-16
15,PASCO,139,2020-07-16
16,PALM BEACH,670,2020-07-16
17,OSCEOLA,180,2020-07-16
18,ORANGE,625,2020-07-16
19,OKEECHOBEE,17,2020-07-16
20,OKALOOSA,46,2020-07-16
21,NASSAU,1,2020-07-16
22,MONROE,21,2020-07-16
23,MIAMI-DADE,1903,2020-07-16
24,MARTIN,41,2020-07-16
25,MARION,94,2020-07-16
26,MANATEE,106,2020-07-16
27,MADISON,1,2020-07-16
28,LEON,60,2020-07-16
29,LEE,248,2020-07-16
30,LAKE,139,2020-07-16
31,JACKSON,35,2020-07-16
32,INDIAN RIVER,36,2020-07-16
33,HOLMES,1,2020-07-16
34,HILLSBOROUGH,542,2020-07-16
35,HIGHLANDS,64,2020-07-16
36,HERNANDO,87,2020-07-16
37,HENDRY,4,2020-07-16
38,HARDEE,0,2020-07-16
39,GULF,2,2020-07-16
40,GADSDEN,3,2020-07-16
41,FRANKLIN,0,2020-07-16
42,FLAGLER,19,2020-07-16
43,ESCAMBIA,186,2020-07-16
44,DUVAL,521,2020-07-16
45,DESOTO,5,2020-07-16
46,COLUMBIA,23,2020-07-16
47,COLLIER,196,2020-07-16
48,CLAY,60,2020-07-16
49,CITRUS,26,2020-07-16
50,CHARLOTTE,31,2020-07-16
51,CALHOUN,2,2020-07-16
52,BROWARD,1201,2020-07-16
53,BREVARD,127,2020-07-16
54,BRADFORD,0,2020-07-16
55,BAY,73,2020-07-16
56,BAKER,33,2020-07-16
57,ALACHUA,114,2020-07-16
