,County,COVID Hospitalizations,Date
0,ALACHUA,45,2020-07-04
1,BAKER,10,2020-07-04
2,BAY,22,2020-07-04
3,BRADFORD,0,2020-07-04
4,BREVARD,65,2020-07-04
5,BROWARD,389,2020-07-04
6,CALHOUN,0,2020-07-04
7,CHARLOTTE,27,2020-07-04
8,CITRUS,9,2020-07-04
9,CLAY,-25,2020-07-04
10,COLLIER,138,2020-07-04
11,COLUMBIA,17,2020-07-04
12,DESOTO,7,2020-07-04
13,DUVAL,279,2020-07-04
14,ESCAMBIA,103,2020-07-04
15,FLAGLER,9,2020-07-04
16,FRANKLIN,0,2020-07-04
17,GADSDEN,0,2020-07-04
18,GULF,1,2020-07-04
19,HARDEE,0,2020-07-04
20,HENDRY,1,2020-07-04
21,HERNANDO,28,2020-07-04
22,HIGHLANDS,22,2020-07-04
23,HILLSBOROUGH,328,2020-07-04
24,HOLMES,0,2020-07-04
25,INDIAN RIVER,18,2020-07-04
26,JACKSON,4,2020-07-04
27,LAKE,89,2020-07-04
28,LEE,305,2020-07-04
29,LEON,27,2020-07-04
30,MADISON,1,2020-07-04
31,MANATEE,54,2020-07-04
32,MARION,44,2020-07-04
33,MARTIN,47,2020-07-04
34,MIAMI-DADE,1221,2020-07-04
35,MONROE,3,2020-07-04
36,NASSAU,4,2020-07-04
37,OKALOOSA,14,2020-07-04
38,OKEECHOBEE,15,2020-07-04
39,ORANGE,393,2020-07-04
40,OSCEOLA,145,2020-07-04
41,PALM BEACH,168,2020-07-04
42,PASCO,82,2020-07-04
43,PINELLAS,344,2020-07-04
44,POLK,179,2020-07-04
45,PUTNAM,0,2020-07-04
46,SANTA ROSA,4,2020-07-04
47,SARASOTA,50,2020-07-04
48,SEMINOLE,135,2020-07-04
49,ST. JOHNS,22,2020-07-04
50,ST. LUCIE,83,2020-07-04
51,SUMTER,8,2020-07-04
52,SUWANNEE,0,2020-07-04
53,TAYLOR,0,2020-07-04
54,UNION,0,2020-07-04
55,VOLUSIA,82,2020-07-04
56,WALTON,5,2020-07-04
57,WASHINGTON,1,2020-07-04
58,Grand Total,5022,2020-07-04
