,County,COVID Hospitalizations,Date
0,WASHINGTON,2,2020-10-07
1,WALTON,5,2020-10-07
2,VOLUSIA,64,2020-10-07
3,UNION,14,2020-10-07
4,TAYLOR,0,2020-10-07
5,SUWANNEE,0,2020-10-07
6,SUMTER,17,2020-10-07
7,ST. LUCIE,48,2020-10-07
8,ST. JOHNS,14,2020-10-07
9,SEMINOLE,24,2020-10-07
10,SARASOTA,28,2020-10-07
11,SANTA ROSA,4,2020-10-07
12,PUTNAM,5,2020-10-07
13,POLK,77,2020-10-07
14,PINELLAS,101,2020-10-07
15,PASCO,51,2020-10-07
16,PALM BEACH,102,2020-10-07
17,OSCEOLA,71,2020-10-07
18,ORANGE,141,2020-10-07
19,OKEECHOBEE,12,2020-10-07
20,OKALOOSA,15,2020-10-07
21,NASSAU,2,2020-10-07
22,MONROE,3,2020-10-07
23,MIAMI-DADE,277,2020-10-07
24,MARTIN,13,2020-10-07
25,MARION,30,2020-10-07
26,MANATEE,30,2020-10-07
27,MADISON,0,2020-10-07
28,LEON,37,2020-10-07
29,LEE,26,2020-10-07
30,LAKE,41,2020-10-07
31,JACKSON,12,2020-10-07
32,INDIAN RIVER,9,2020-10-07
33,HOLMES,1,2020-10-07
34,HILLSBOROUGH,169,2020-10-07
35,HIGHLANDS,19,2020-10-07
36,HERNANDO,18,2020-10-07
37,HENDRY,3,2020-10-07
38,HARDEE,0,2020-10-07
39,GULF,0,2020-10-07
40,GADSDEN,12,2020-10-07
41,FRANKLIN,0,2020-10-07
42,FLAGLER,7,2020-10-07
43,ESCAMBIA,40,2020-10-07
44,DUVAL,108,2020-10-07
45,DESOTO,2,2020-10-07
46,COLUMBIA,16,2020-10-07
47,COLLIER,26,2020-10-07
48,CLAY,30,2020-10-07
49,CITRUS,10,2020-10-07
50,CHARLOTTE,22,2020-10-07
51,CALHOUN,0,2020-10-07
52,BROWARD,216,2020-10-07
53,BREVARD,76,2020-10-07
54,BRADFORD,0,2020-10-07
55,BAY,19,2020-10-07
56,BAKER,4,2020-10-07
57,ALACHUA,47,2020-10-07
