,County,COVID Hospitalizations,Date
0,WASHINGTON,2,2020-10-20
1,WALTON,7,2020-10-20
2,VOLUSIA,53,2020-10-20
3,UNION,15,2020-10-20
4,TAYLOR,0,2020-10-20
5,SUWANNEE,0,2020-10-20
6,SUMTER,13,2020-10-20
7,ST. LUCIE,40,2020-10-20
8,ST. JOHNS,7,2020-10-20
9,SEMINOLE,31,2020-10-20
10,SARASOTA,47,2020-10-20
11,SANTA ROSA,5,2020-10-20
12,PUTNAM,4,2020-10-20
13,POLK,77,2020-10-20
14,PINELLAS,118,2020-10-20
15,PASCO,43,2020-10-20
16,PALM BEACH,106,2020-10-20
17,OSCEOLA,78,2020-10-20
18,ORANGE,119,2020-10-20
19,OKEECHOBEE,4,2020-10-20
20,OKALOOSA,20,2020-10-20
21,NASSAU,2,2020-10-20
22,MONROE,7,2020-10-20
23,MIAMI-DADE,259,2020-10-20
24,MARTIN,6,2020-10-20
25,MARION,29,2020-10-20
26,MANATEE,30,2020-10-20
27,MADISON,0,2020-10-20
28,LEON,35,2020-10-20
29,LEE,40,2020-10-20
30,LAKE,34,2020-10-20
31,JACKSON,6,2020-10-20
32,INDIAN RIVER,7,2020-10-20
33,HOLMES,0,2020-10-20
34,HILLSBOROUGH,149,2020-10-20
35,HIGHLANDS,18,2020-10-20
36,HERNANDO,27,2020-10-20
37,HENDRY,2,2020-10-20
38,HARDEE,0,2020-10-20
39,GULF,0,2020-10-20
40,GADSDEN,7,2020-10-20
41,FRANKLIN,0,2020-10-20
42,FLAGLER,10,2020-10-20
43,ESCAMBIA,37,2020-10-20
44,DUVAL,132,2020-10-20
45,DESOTO,1,2020-10-20
46,COLUMBIA,20,2020-10-20
47,COLLIER,25,2020-10-20
48,CLAY,31,2020-10-20
49,CITRUS,19,2020-10-20
50,CHARLOTTE,28,2020-10-20
51,CALHOUN,0,2020-10-20
52,BROWARD,193,2020-10-20
53,BREVARD,63,2020-10-20
54,BRADFORD,0,2020-10-20
55,BAY,22,2020-10-20
56,BAKER,3,2020-10-20
57,ALACHUA,57,2020-10-20
