,County,COVID Hospitalizations,Date
0,WASHINGTON,7,2020-08-15
1,WALTON,7,2020-08-15
2,VOLUSIA,91,2020-08-15
3,UNION,0,2020-08-15
4,TAYLOR,0,2020-08-15
5,SUWANNEE,0,2020-08-15
6,SUMTER,17,2020-08-15
7,ST. LUCIE,107,2020-08-15
8,ST. JOHNS,27,2020-08-15
9,SEMINOLE,83,2020-08-15
10,SARASOTA,82,2020-08-15
11,SANTA ROSA,18,2020-08-15
12,PUTNAM,8,2020-08-15
13,POLK,170,2020-08-15
14,PINELLAS,243,2020-08-15
15,PASCO,71,2020-08-15
16,PALM BEACH,353,2020-08-15
17,OSCEOLA,103,2020-08-15
18,ORANGE,259,2020-08-15
19,OKEECHOBEE,10,2020-08-15
20,OKALOOSA,46,2020-08-15
21,NASSAU,6,2020-08-15
22,MONROE,8,2020-08-15
23,MIAMI-DADE,1154,2020-08-15
24,MARTIN,18,2020-08-15
25,MARION,105,2020-08-15
26,MANATEE,66,2020-08-15
27,MADISON,0,2020-08-15
28,LEON,75,2020-08-15
29,LEE,160,2020-08-15
30,LAKE,48,2020-08-15
31,JACKSON,14,2020-08-15
32,INDIAN RIVER,21,2020-08-15
33,HOLMES,2,2020-08-15
34,HILLSBOROUGH,307,2020-08-15
35,HIGHLANDS,51,2020-08-15
36,HERNANDO,16,2020-08-15
37,HENDRY,5,2020-08-15
38,HARDEE,0,2020-08-15
39,GULF,4,2020-08-15
40,GADSDEN,126,2020-08-15
41,FRANKLIN,0,2020-08-15
42,FLAGLER,14,2020-08-15
43,ESCAMBIA,155,2020-08-15
44,DUVAL,331,2020-08-15
45,DESOTO,4,2020-08-15
46,COLUMBIA,29,2020-08-15
47,COLLIER,112,2020-08-15
48,CLAY,61,2020-08-15
49,CITRUS,30,2020-08-15
50,CHARLOTTE,35,2020-08-15
51,CALHOUN,0,2020-08-15
52,BROWARD,740,2020-08-15
53,BREVARD,117,2020-08-15
54,BRADFORD,0,2020-08-15
55,BAY,60,2020-08-15
56,BAKER,3,2020-08-15
57,ALACHUA,128,2020-08-15
