,County,COVID Hospitalizations,Date
0,WASHINGTON,11,2020-12-07
1,WALTON,8,2020-12-07
2,VOLUSIA,103,2020-12-07
3,UNION,0,2020-12-07
4,TAYLOR,0,2020-12-07
5,SUWANNEE,0,2020-12-07
6,SUMTER,24,2020-12-07
7,ST. LUCIE,57,2020-12-07
8,ST. JOHNS,19,2020-12-07
9,SEMINOLE,60,2020-12-07
10,SARASOTA,138,2020-12-07
11,SANTA ROSA,16,2020-12-07
12,PUTNAM,10,2020-12-07
13,POLK,147,2020-12-07
14,PINELLAS,205,2020-12-07
15,PASCO,126,2020-12-07
16,PALM BEACH,271,2020-12-07
17,OSCEOLA,101,2020-12-07
18,ORANGE,199,2020-12-07
19,OKEECHOBEE,9,2020-12-07
20,OKALOOSA,53,2020-12-07
21,NASSAU,8,2020-12-07
22,MONROE,4,2020-12-07
23,MIAMI-DADE,808,2020-12-07
24,MARTIN,17,2020-12-07
25,MARION,58,2020-12-07
26,MANATEE,64,2020-12-07
27,MADISON,1,2020-12-07
28,LEON,39,2020-12-07
29,LEE,138,2020-12-07
30,LAKE,79,2020-12-07
31,JACKSON,18,2020-12-07
32,INDIAN RIVER,19,2020-12-07
33,HOLMES,3,2020-12-07
34,HILLSBOROUGH,256,2020-12-07
35,HIGHLANDS,54,2020-12-07
36,HERNANDO,54,2020-12-07
37,HENDRY,1,2020-12-07
38,HARDEE,0,2020-12-07
39,GULF,1,2020-12-07
40,GADSDEN,0,2020-12-07
41,FRANKLIN,0,2020-12-07
42,FLAGLER,20,2020-12-07
43,ESCAMBIA,115,2020-12-07
44,DUVAL,234,2020-12-07
45,DESOTO,4,2020-12-07
46,COLUMBIA,18,2020-12-07
47,COLLIER,89,2020-12-07
48,CLAY,47,2020-12-07
49,CITRUS,53,2020-12-07
50,CHARLOTTE,82,2020-12-07
51,CALHOUN,1,2020-12-07
52,BROWARD,438,2020-12-07
53,BREVARD,76,2020-12-07
54,BRADFORD,0,2020-12-07
55,BAY,36,2020-12-07
56,BAKER,4,2020-12-07
57,ALACHUA,99,2020-12-07
