,County,COVID Hospitalizations,Date
0,WASHINGTON,7,2020-08-04
1,WALTON,13,2020-08-04
2,VOLUSIA,141,2020-08-04
3,UNION,0,2020-08-04
4,TAYLOR,0,2020-08-04
5,SUWANNEE,0,2020-08-04
6,SUMTER,29,2020-08-04
7,ST. LUCIE,165,2020-08-04
8,ST. JOHNS,27,2020-08-04
9,SEMINOLE,117,2020-08-04
10,SARASOTA,101,2020-08-04
11,SANTA ROSA,13,2020-08-04
12,PUTNAM,11,2020-08-04
13,POLK,256,2020-08-04
14,PINELLAS,326,2020-08-04
15,PASCO,92,2020-08-04
16,PALM BEACH,488,2020-08-04
17,OSCEOLA,144,2020-08-04
18,ORANGE,413,2020-08-04
19,OKEECHOBEE,9,2020-08-04
20,OKALOOSA,47,2020-08-04
21,NASSAU,1,2020-08-04
22,MONROE,14,2020-08-04
23,MIAMI-DADE,1718,2020-08-04
24,MARTIN,1,2020-08-04
25,MARION,105,2020-08-04
26,MANATEE,95,2020-08-04
27,MADISON,0,2020-08-04
28,LEON,81,2020-08-04
29,LEE,233,2020-08-04
30,LAKE,77,2020-08-04
31,JACKSON,17,2020-08-04
32,INDIAN RIVER,28,2020-08-04
33,HOLMES,1,2020-08-04
34,HILLSBOROUGH,468,2020-08-04
35,HIGHLANDS,58,2020-08-04
36,HERNANDO,55,2020-08-04
37,HENDRY,11,2020-08-04
38,HARDEE,0,2020-08-04
39,GULF,6,2020-08-04
40,GADSDEN,70,2020-08-04
41,FRANKLIN,0,2020-08-04
42,FLAGLER,14,2020-08-04
43,ESCAMBIA,180,2020-08-04
44,DUVAL,451,2020-08-04
45,DESOTO,4,2020-08-04
46,COLUMBIA,27,2020-08-04
47,COLLIER,129,2020-08-04
48,CLAY,79,2020-08-04
49,CITRUS,24,2020-08-04
50,CHARLOTTE,42,2020-08-04
51,CALHOUN,1,2020-08-04
52,BROWARD,1103,2020-08-04
53,BREVARD,102,2020-08-04
54,BRADFORD,0,2020-08-04
55,BAY,83,2020-08-04
56,BAKER,25,2020-08-04
57,ALACHUA,141,2020-08-04
