,County,COVID Hospitalizations,Date
0,WASHINGTON,3,2020-07-26
1,WALTON,10,2020-07-26
2,VOLUSIA,138,2020-07-26
3,UNION,0,2020-07-26
4,TAYLOR,0,2020-07-26
5,SUWANNEE,0,2020-07-26
6,SUMTER,33,2020-07-26
7,ST. LUCIE,163,2020-07-26
8,ST. JOHNS,35,2020-07-26
9,SEMINOLE,141,2020-07-26
10,SARASOTA,147,2020-07-26
11,SANTA ROSA,28,2020-07-26
12,PUTNAM,24,2020-07-26
13,POLK,277,2020-07-26
14,PINELLAS,416,2020-07-26
15,PASCO,112,2020-07-26
16,PALM BEACH,560,2020-07-26
17,OSCEOLA,210,2020-07-26
18,ORANGE,537,2020-07-26
19,OKEECHOBEE,13,2020-07-26
20,OKALOOSA,52,2020-07-26
21,NASSAU,5,2020-07-26
22,MONROE,17,2020-07-26
23,MIAMI-DADE,1871,2020-07-26
24,MARTIN,32,2020-07-26
25,MARION,107,2020-07-26
26,MANATEE,127,2020-07-26
27,MADISON,1,2020-07-26
28,LEON,68,2020-07-26
29,LEE,211,2020-07-26
30,LAKE,104,2020-07-26
31,JACKSON,19,2020-07-26
32,INDIAN RIVER,24,2020-07-26
33,HOLMES,1,2020-07-26
34,HILLSBOROUGH,503,2020-07-26
35,HIGHLANDS,54,2020-07-26
36,HERNANDO,49,2020-07-26
37,HENDRY,9,2020-07-26
38,HARDEE,0,2020-07-26
39,GULF,2,2020-07-26
40,GADSDEN,34,2020-07-26
41,FRANKLIN,0,2020-07-26
42,FLAGLER,21,2020-07-26
43,ESCAMBIA,207,2020-07-26
44,DUVAL,487,2020-07-26
45,DESOTO,2,2020-07-26
46,COLUMBIA,25,2020-07-26
47,COLLIER,151,2020-07-26
48,CLAY,85,2020-07-26
49,CITRUS,32,2020-07-26
50,CHARLOTTE,66,2020-07-26
51,CALHOUN,1,2020-07-26
52,BROWARD,1260,2020-07-26
53,BREVARD,140,2020-07-26
54,BRADFORD,0,2020-07-26
55,BAY,85,2020-07-26
56,BAKER,33,2020-07-26
57,ALACHUA,142,2020-07-26
