,County,COVID Hospitalizations,Date
0,WASHINGTON,6,2020-12-17
1,WALTON,13,2020-12-17
2,VOLUSIA,109,2020-12-17
3,UNION,0,2020-12-17
4,TAYLOR,0,2020-12-17
5,SUWANNEE,0,2020-12-17
6,SUMTER,44,2020-12-17
7,ST. LUCIE,88,2020-12-17
8,ST. JOHNS,24,2020-12-17
9,SEMINOLE,70,2020-12-17
10,SARASOTA,133,2020-12-17
11,SANTA ROSA,14,2020-12-17
12,PUTNAM,15,2020-12-17
13,POLK,150,2020-12-17
14,PINELLAS,235,2020-12-17
15,PASCO,139,2020-12-17
16,PALM BEACH,278,2020-12-17
17,OSCEOLA,138,2020-12-17
18,ORANGE,245,2020-12-17
19,OKEECHOBEE,9,2020-12-17
20,OKALOOSA,55,2020-12-17
21,NASSAU,2,2020-12-17
22,MONROE,3,2020-12-17
23,MIAMI-DADE,933,2020-12-17
24,MARTIN,33,2020-12-17
25,MARION,68,2020-12-17
26,MANATEE,53,2020-12-17
27,MADISON,0,2020-12-17
28,LEON,57,2020-12-17
29,LEE,120,2020-12-17
30,LAKE,100,2020-12-17
31,JACKSON,12,2020-12-17
32,INDIAN RIVER,15,2020-12-17
33,HOLMES,3,2020-12-17
34,HILLSBOROUGH,307,2020-12-17
35,HIGHLANDS,60,2020-12-17
36,HERNANDO,71,2020-12-17
37,HENDRY,4,2020-12-17
38,HARDEE,0,2020-12-17
39,GULF,1,2020-12-17
40,GADSDEN,0,2020-12-17
41,FRANKLIN,0,2020-12-17
42,FLAGLER,17,2020-12-17
43,ESCAMBIA,115,2020-12-17
44,DUVAL,272,2020-12-17
45,DESOTO,6,2020-12-17
46,COLUMBIA,15,2020-12-17
47,COLLIER,79,2020-12-17
48,CLAY,57,2020-12-17
49,CITRUS,49,2020-12-17
50,CHARLOTTE,85,2020-12-17
51,CALHOUN,0,2020-12-17
52,BROWARD,541,2020-12-17
53,BREVARD,77,2020-12-17
54,BRADFORD,0,2020-12-17
55,BAY,69,2020-12-17
56,BAKER,7,2020-12-17
57,ALACHUA,125,2020-12-17
