,County,COVID Hospitalizations,Date
0,WASHINGTON,12,2021-01-02
1,WALTON,14,2021-01-02
2,VOLUSIA,99,2021-01-02
3,UNION,2,2021-01-02
4,TAYLOR,0,2021-01-02
5,SUWANNEE,0,2021-01-02
6,SUMTER,68,2021-01-02
7,ST. LUCIE,99,2021-01-02
8,ST. JOHNS,37,2021-01-02
9,SEMINOLE,114,2021-01-02
10,SARASOTA,128,2021-01-02
11,SANTA ROSA,28,2021-01-02
12,PUTNAM,19,2021-01-02
13,POLK,251,2021-01-02
14,PINELLAS,362,2021-01-02
15,PASCO,178,2021-01-02
16,PALM BEACH,355,2021-01-02
17,OSCEOLA,153,2021-01-02
18,ORANGE,365,2021-01-02
19,OKEECHOBEE,16,2021-01-02
20,OKALOOSA,57,2021-01-02
21,NASSAU,12,2021-01-02
22,MONROE,2,2021-01-02
23,MIAMI-DADE,1010,2021-01-02
24,MARTIN,40,2021-01-02
25,MARION,139,2021-01-02
26,MANATEE,86,2021-01-02
27,MADISON,2,2021-01-02
28,LEON,104,2021-01-02
29,LEE,132,2021-01-02
30,LAKE,164,2021-01-02
31,JACKSON,15,2021-01-02
32,INDIAN RIVER,46,2021-01-02
33,HOLMES,2,2021-01-02
34,HILLSBOROUGH,404,2021-01-02
35,HIGHLANDS,48,2021-01-02
36,HERNANDO,91,2021-01-02
37,HENDRY,3,2021-01-02
38,HARDEE,0,2021-01-02
39,GULF,3,2021-01-02
40,GADSDEN,0,2021-01-02
41,FRANKLIN,0,2021-01-02
42,FLAGLER,14,2021-01-02
43,ESCAMBIA,185,2021-01-02
44,DUVAL,440,2021-01-02
45,DESOTO,7,2021-01-02
46,COLUMBIA,33,2021-01-02
47,COLLIER,87,2021-01-02
48,CLAY,109,2021-01-02
49,CITRUS,64,2021-01-02
50,CHARLOTTE,104,2021-01-02
51,CALHOUN,0,2021-01-02
52,BROWARD,566,2021-01-02
53,BREVARD,124,2021-01-02
54,BRADFORD,0,2021-01-02
55,BAY,78,2021-01-02
56,BAKER,1,2021-01-02
57,ALACHUA,187,2021-01-02
