,County,COVID Hospitalizations,Date
0,WASHINGTON,3,2020-11-06
1,WALTON,12,2020-11-06
2,VOLUSIA,61,2020-11-06
3,UNION,4,2020-11-06
4,TAYLOR,0,2020-11-06
5,SUWANNEE,0,2020-11-06
6,SUMTER,15,2020-11-06
7,ST. LUCIE,45,2020-11-06
8,ST. JOHNS,7,2020-11-06
9,SEMINOLE,54,2020-11-06
10,SARASOTA,75,2020-11-06
11,SANTA ROSA,7,2020-11-06
12,PUTNAM,7,2020-11-06
13,POLK,84,2020-11-06
14,PINELLAS,141,2020-11-06
15,PASCO,62,2020-11-06
16,PALM BEACH,147,2020-11-06
17,OSCEOLA,71,2020-11-06
18,ORANGE,128,2020-11-06
19,OKEECHOBEE,0,2020-11-06
20,OKALOOSA,40,2020-11-06
21,NASSAU,3,2020-11-06
22,MONROE,4,2020-11-06
23,MIAMI-DADE,331,2020-11-06
24,MARTIN,4,2020-11-06
25,MARION,34,2020-11-06
26,MANATEE,34,2020-11-06
27,MADISON,0,2020-11-06
28,LEON,38,2020-11-06
29,LEE,65,2020-11-06
30,LAKE,31,2020-11-06
31,JACKSON,14,2020-11-06
32,INDIAN RIVER,19,2020-11-06
33,HOLMES,1,2020-11-06
34,HILLSBOROUGH,179,2020-11-06
35,HIGHLANDS,31,2020-11-06
36,HERNANDO,32,2020-11-06
37,HENDRY,1,2020-11-06
38,HARDEE,0,2020-11-06
39,GULF,2,2020-11-06
40,GADSDEN,0,2020-11-06
41,FRANKLIN,0,2020-11-06
42,FLAGLER,7,2020-11-06
43,ESCAMBIA,47,2020-11-06
44,DUVAL,144,2020-11-06
45,DESOTO,2,2020-11-06
46,COLUMBIA,11,2020-11-06
47,COLLIER,49,2020-11-06
48,CLAY,29,2020-11-06
49,CITRUS,24,2020-11-06
50,CHARLOTTE,32,2020-11-06
51,CALHOUN,0,2020-11-06
52,BROWARD,284,2020-11-06
53,BREVARD,69,2020-11-06
54,BRADFORD,0,2020-11-06
55,BAY,18,2020-11-06
56,BAKER,1,2020-11-06
57,ALACHUA,61,2020-11-06
