,County,COVID Hospitalizations,Date
0,WASHINGTON,5,2020-08-19
1,WALTON,6,2020-08-19
2,VOLUSIA,105,2020-08-19
3,UNION,0,2020-08-19
4,TAYLOR,0,2020-08-19
5,SUWANNEE,0,2020-08-19
6,SUMTER,15,2020-08-19
7,ST. LUCIE,94,2020-08-19
8,ST. JOHNS,20,2020-08-19
9,SEMINOLE,75,2020-08-19
10,SARASOTA,75,2020-08-19
11,SANTA ROSA,17,2020-08-19
12,PUTNAM,10,2020-08-19
13,POLK,161,2020-08-19
14,PINELLAS,182,2020-08-19
15,PASCO,59,2020-08-19
16,PALM BEACH,331,2020-08-19
17,OSCEOLA,84,2020-08-19
18,ORANGE,234,2020-08-19
19,OKEECHOBEE,11,2020-08-19
20,OKALOOSA,33,2020-08-19
21,NASSAU,7,2020-08-19
22,MONROE,4,2020-08-19
23,MIAMI-DADE,1020,2020-08-19
24,MARTIN,23,2020-08-19
25,MARION,109,2020-08-19
26,MANATEE,53,2020-08-19
27,MADISON,0,2020-08-19
28,LEON,94,2020-08-19
29,LEE,147,2020-08-19
30,LAKE,81,2020-08-19
31,JACKSON,12,2020-08-19
32,INDIAN RIVER,15,2020-08-19
33,HOLMES,3,2020-08-19
34,HILLSBOROUGH,271,2020-08-19
35,HIGHLANDS,42,2020-08-19
36,HERNANDO,42,2020-08-19
37,HENDRY,4,2020-08-19
38,HARDEE,0,2020-08-19
39,GULF,2,2020-08-19
40,GADSDEN,126,2020-08-19
41,FRANKLIN,0,2020-08-19
42,FLAGLER,12,2020-08-19
43,ESCAMBIA,142,2020-08-19
44,DUVAL,313,2020-08-19
45,DESOTO,2,2020-08-19
46,COLUMBIA,24,2020-08-19
47,COLLIER,102,2020-08-19
48,CLAY,63,2020-08-19
49,CITRUS,27,2020-08-19
50,CHARLOTTE,42,2020-08-19
51,CALHOUN,0,2020-08-19
52,BROWARD,709,2020-08-19
53,BREVARD,128,2020-08-19
54,BRADFORD,0,2020-08-19
55,BAY,60,2020-08-19
56,BAKER,3,2020-08-19
57,ALACHUA,121,2020-08-19
