,County,COVID Hospitalizations,Date
0,WASHINGTON,2,2020-09-15
1,WALTON,6,2020-09-15
2,VOLUSIA,64,2020-09-15
3,UNION,12,2020-09-15
4,TAYLOR,0,2020-09-15
5,SUWANNEE,0,2020-09-15
6,SUMTER,7,2020-09-15
7,ST. LUCIE,60,2020-09-15
8,ST. JOHNS,16,2020-09-15
9,SEMINOLE,33,2020-09-15
10,SARASOTA,36,2020-09-15
11,SANTA ROSA,5,2020-09-15
12,PUTNAM,6,2020-09-15
13,POLK,104,2020-09-15
14,PINELLAS,109,2020-09-15
15,PASCO,27,2020-09-15
16,PALM BEACH,159,2020-09-15
17,OSCEOLA,51,2020-09-15
18,ORANGE,109,2020-09-15
19,OKEECHOBEE,18,2020-09-15
20,OKALOOSA,16,2020-09-15
21,NASSAU,1,2020-09-15
22,MONROE,2,2020-09-15
23,MIAMI-DADE,388,2020-09-15
24,MARTIN,14,2020-09-15
25,MARION,56,2020-09-15
26,MANATEE,18,2020-09-15
27,MADISON,1,2020-09-15
28,LEON,62,2020-09-15
29,LEE,74,2020-09-15
30,LAKE,40,2020-09-15
31,JACKSON,12,2020-09-15
32,INDIAN RIVER,7,2020-09-15
33,HOLMES,0,2020-09-15
34,HILLSBOROUGH,150,2020-09-15
35,HIGHLANDS,31,2020-09-15
36,HERNANDO,21,2020-09-15
37,HENDRY,2,2020-09-15
38,HARDEE,0,2020-09-15
39,GULF,1,2020-09-15
40,GADSDEN,57,2020-09-15
41,FRANKLIN,0,2020-09-15
42,FLAGLER,10,2020-09-15
43,ESCAMBIA,54,2020-09-15
44,DUVAL,166,2020-09-15
45,DESOTO,1,2020-09-15
46,COLUMBIA,10,2020-09-15
47,COLLIER,32,2020-09-15
48,CLAY,36,2020-09-15
49,CITRUS,23,2020-09-15
50,CHARLOTTE,34,2020-09-15
51,CALHOUN,0,2020-09-15
52,BROWARD,260,2020-09-15
53,BREVARD,53,2020-09-15
54,BRADFORD,0,2020-09-15
55,BAY,25,2020-09-15
56,BAKER,12,2020-09-15
57,ALACHUA,83,2020-09-15
