,County,COVID Hospitalizations,Date
0,WASHINGTON,0,2020-11-20
1,WALTON,9,2020-11-20
2,VOLUSIA,84,2020-11-20
3,UNION,2,2020-11-20
4,TAYLOR,0,2020-11-20
5,SUWANNEE,0,2020-11-20
6,SUMTER,15,2020-11-20
7,ST. LUCIE,48,2020-11-20
8,ST. JOHNS,12,2020-11-20
9,SEMINOLE,52,2020-11-20
10,SARASOTA,107,2020-11-20
11,SANTA ROSA,15,2020-11-20
12,PUTNAM,8,2020-11-20
13,POLK,114,2020-11-20
14,PINELLAS,157,2020-11-20
15,PASCO,101,2020-11-20
16,PALM BEACH,238,2020-11-20
17,OSCEOLA,87,2020-11-20
18,ORANGE,179,2020-11-20
19,OKEECHOBEE,12,2020-11-20
20,OKALOOSA,38,2020-11-20
21,NASSAU,1,2020-11-20
22,MONROE,9,2020-11-20
23,MIAMI-DADE,468,2020-11-20
24,MARTIN,10,2020-11-20
25,MARION,44,2020-11-20
26,MANATEE,34,2020-11-20
27,MADISON,0,2020-11-20
28,LEON,38,2020-11-20
29,LEE,90,2020-11-20
30,LAKE,52,2020-11-20
31,JACKSON,20,2020-11-20
32,INDIAN RIVER,13,2020-11-20
33,HOLMES,0,2020-11-20
34,HILLSBOROUGH,244,2020-11-20
35,HIGHLANDS,64,2020-11-20
36,HERNANDO,54,2020-11-20
37,HENDRY,2,2020-11-20
38,HARDEE,0,2020-11-20
39,GULF,1,2020-11-20
40,GADSDEN,0,2020-11-20
41,FRANKLIN,0,2020-11-20
42,FLAGLER,8,2020-11-20
43,ESCAMBIA,74,2020-11-20
44,DUVAL,180,2020-11-20
45,DESOTO,14,2020-11-20
46,COLUMBIA,18,2020-11-20
47,COLLIER,65,2020-11-20
48,CLAY,44,2020-11-20
49,CITRUS,67,2020-11-20
50,CHARLOTTE,38,2020-11-20
51,CALHOUN,0,2020-11-20
52,BROWARD,320,2020-11-20
53,BREVARD,74,2020-11-20
54,BRADFORD,0,2020-11-20
55,BAY,24,2020-11-20
56,BAKER,0,2020-11-20
57,ALACHUA,91,2020-11-20
