,County,COVID Hospitalizations,Date
0,WASHINGTON,1,2020-09-26
1,WALTON,5,2020-09-26
2,VOLUSIA,51,2020-09-26
3,UNION,12,2020-09-26
4,TAYLOR,0,2020-09-26
5,SUWANNEE,0,2020-09-26
6,SUMTER,11,2020-09-26
7,ST. LUCIE,51,2020-09-26
8,ST. JOHNS,13,2020-09-26
9,SEMINOLE,31,2020-09-26
10,SARASOTA,30,2020-09-26
11,SANTA ROSA,1,2020-09-26
12,PUTNAM,7,2020-09-26
13,POLK,84,2020-09-26
14,PINELLAS,98,2020-09-26
15,PASCO,38,2020-09-26
16,PALM BEACH,111,2020-09-26
17,OSCEOLA,67,2020-09-26
18,ORANGE,122,2020-09-26
19,OKEECHOBEE,13,2020-09-26
20,OKALOOSA,18,2020-09-26
21,NASSAU,2,2020-09-26
22,MONROE,3,2020-09-26
23,MIAMI-DADE,268,2020-09-26
24,MARTIN,20,2020-09-26
25,MARION,27,2020-09-26
26,MANATEE,20,2020-09-26
27,MADISON,0,2020-09-26
28,LEON,39,2020-09-26
29,LEE,44,2020-09-26
30,LAKE,31,2020-09-26
31,JACKSON,4,2020-09-26
32,INDIAN RIVER,8,2020-09-26
33,HOLMES,-1,2020-09-26
34,HILLSBOROUGH,141,2020-09-26
35,HIGHLANDS,19,2020-09-26
36,HERNANDO,20,2020-09-26
37,HENDRY,2,2020-09-26
38,HARDEE,0,2020-09-26
39,GULF,0,2020-09-26
40,GADSDEN,29,2020-09-26
41,FRANKLIN,0,2020-09-26
42,FLAGLER,14,2020-09-26
43,ESCAMBIA,36,2020-09-26
44,DUVAL,120,2020-09-26
45,DESOTO,0,2020-09-26
46,COLUMBIA,15,2020-09-26
47,COLLIER,26,2020-09-26
48,CLAY,33,2020-09-26
49,CITRUS,23,2020-09-26
50,CHARLOTTE,24,2020-09-26
51,CALHOUN,0,2020-09-26
52,BROWARD,215,2020-09-26
53,BREVARD,59,2020-09-26
54,BRADFORD,0,2020-09-26
55,BAY,17,2020-09-26
56,BAKER,7,2020-09-26
57,ALACHUA,70,2020-09-26
