,County,COVID Hospitalizations,Date
0,ALACHUA,150,2020-07-31
1,BAKER,34,2020-07-31
2,BAY,79,2020-07-31
3,BRADFORD,0,2020-07-31
4,BREVARD,128,2020-07-31
5,BROWARD,988,2020-07-31
6,CALHOUN,0,2020-07-31
7,CHARLOTTE,53,2020-07-31
8,CITRUS,26,2020-07-31
9,CLAY,72,2020-07-31
10,COLLIER,129,2020-07-31
11,COLUMBIA,31,2020-07-31
12,DESOTO,3,2020-07-31
13,DUVAL,464,2020-07-31
14,ESCAMBIA,199,2020-07-31
15,FLAGLER,21,2020-07-31
16,FRANKLIN,0,2020-07-31
17,GADSDEN,61,2020-07-31
18,GULF,4,2020-07-31
19,HARDEE,0,2020-07-31
20,HENDRY,8,2020-07-31
21,HERNANDO,62,2020-07-31
22,HIGHLANDS,56,2020-07-31
23,HILLSBOROUGH,445,2020-07-31
24,HOLMES,1,2020-07-31
25,INDIAN RIVER,29,2020-07-31
26,JACKSON,17,2020-07-31
27,LAKE,91,2020-07-31
28,LEE,164,2020-07-31
29,LEON,80,2020-07-31
30,MADISON,0,2020-07-31
31,MANATEE,119,2020-07-31
32,MARION,114,2020-07-31
33,MARTIN,33,2020-07-31
34,MIAMI-DADE,1628,2020-07-31
35,MONROE,0,2020-07-31
36,NASSAU,5,2020-07-31
37,OKALOOSA,52,2020-07-31
38,OKEECHOBEE,11,2020-07-31
39,ORANGE,446,2020-07-31
40,OSCEOLA,146,2020-07-31
41,PALM BEACH,523,2020-07-31
42,PASCO,55,2020-07-31
43,PINELLAS,351,2020-07-31
44,POLK,283,2020-07-31
45,PUTNAM,13,2020-07-31
46,SANTA ROSA,29,2020-07-31
47,SARASOTA,133,2020-07-31
48,SEMINOLE,122,2020-07-31
49,ST. JOHNS,29,2020-07-31
50,ST. LUCIE,159,2020-07-31
51,SUMTER,32,2020-07-31
52,SUWANNEE,0,2020-07-31
53,TAYLOR,0,2020-07-31
54,UNION,0,2020-07-31
55,VOLUSIA,133,2020-07-31
56,WALTON,12,2020-07-31
57,WASHINGTON,6,2020-07-31
58,Grand Total,7829,2020-07-31
