,County,COVID Hospitalizations,Date
0,ALACHUA,58,2020-07-06
1,BAKER,11,2020-07-06
2,BAY,32,2020-07-06
3,BRADFORD,0,2020-07-06
4,BREVARD,81,2020-07-06
5,BROWARD,847,2020-07-06
6,CALHOUN,0,2020-07-06
7,CHARLOTTE,23,2020-07-06
8,CITRUS,10,2020-07-06
9,CLAY,38,2020-07-06
10,COLLIER,150,2020-07-06
11,COLUMBIA,20,2020-07-06
12,DESOTO,4,2020-07-06
13,DUVAL,332,2020-07-06
14,ESCAMBIA,104,2020-07-06
15,FLAGLER,8,2020-07-06
16,FRANKLIN,0,2020-07-06
17,GADSDEN,0,2020-07-06
18,GULF,1,2020-07-06
19,HARDEE,0,2020-07-06
20,HENDRY,1,2020-07-06
21,HERNANDO,25,2020-07-06
22,HIGHLANDS,28,2020-07-06
23,HILLSBOROUGH,414,2020-07-06
24,HOLMES,0,2020-07-06
25,INDIAN RIVER,22,2020-07-06
26,JACKSON,4,2020-07-06
27,LAKE,107,2020-07-06
28,LEE,261,2020-07-06
29,LEON,44,2020-07-06
30,MADISON,2,2020-07-06
31,MANATEE,56,2020-07-06
32,MARION,56,2020-07-06
33,MARTIN,50,2020-07-06
34,MIAMI-DADE,1469,2020-07-06
35,MONROE,4,2020-07-06
36,NASSAU,4,2020-07-06
37,OKALOOSA,22,2020-07-06
38,OKEECHOBEE,15,2020-07-06
39,ORANGE,439,2020-07-06
40,OSCEOLA,159,2020-07-06
41,PALM BEACH,414,2020-07-06
42,PASCO,83,2020-07-06
43,PINELLAS,388,2020-07-06
44,POLK,199,2020-07-06
45,PUTNAM,10,2020-07-06
46,SANTA ROSA,6,2020-07-06
47,SARASOTA,100,2020-07-06
48,SEMINOLE,137,2020-07-06
49,ST. JOHNS,23,2020-07-06
50,ST. LUCIE,108,2020-07-06
51,SUMTER,12,2020-07-06
52,SUWANNEE,0,2020-07-06
53,TAYLOR,0,2020-07-06
54,UNION,0,2020-07-06
55,VOLUSIA,101,2020-07-06
56,WALTON,5,2020-07-06
57,WASHINGTON,1,2020-07-06
58,Grand Total,6488,2020-07-06
