,County,COVID Hospitalizations,Date
0,WASHINGTON,6,2020-12-19
1,WALTON,10,2020-12-19
2,VOLUSIA,101,2020-12-19
3,UNION,0,2020-12-19
4,TAYLOR,0,2020-12-19
5,SUWANNEE,0,2020-12-19
6,SUMTER,44,2020-12-19
7,ST. LUCIE,89,2020-12-19
8,ST. JOHNS,21,2020-12-19
9,SEMINOLE,73,2020-12-19
10,SARASOTA,118,2020-12-19
11,SANTA ROSA,19,2020-12-19
12,PUTNAM,15,2020-12-19
13,POLK,162,2020-12-19
14,PINELLAS,224,2020-12-19
15,PASCO,139,2020-12-19
16,PALM BEACH,258,2020-12-19
17,OSCEOLA,119,2020-12-19
18,ORANGE,272,2020-12-19
19,OKEECHOBEE,6,2020-12-19
20,OKALOOSA,46,2020-12-19
21,NASSAU,9,2020-12-19
22,MONROE,7,2020-12-19
23,MIAMI-DADE,947,2020-12-19
24,MARTIN,25,2020-12-19
25,MARION,82,2020-12-19
26,MANATEE,54,2020-12-19
27,MADISON,0,2020-12-19
28,LEON,66,2020-12-19
29,LEE,107,2020-12-19
30,LAKE,94,2020-12-19
31,JACKSON,11,2020-12-19
32,INDIAN RIVER,15,2020-12-19
33,HOLMES,5,2020-12-19
34,HILLSBOROUGH,320,2020-12-19
35,HIGHLANDS,60,2020-12-19
36,HERNANDO,70,2020-12-19
37,HENDRY,4,2020-12-19
38,HARDEE,0,2020-12-19
39,GULF,2,2020-12-19
40,GADSDEN,0,2020-12-19
41,FRANKLIN,0,2020-12-19
42,FLAGLER,11,2020-12-19
43,ESCAMBIA,125,2020-12-19
44,DUVAL,287,2020-12-19
45,DESOTO,6,2020-12-19
46,COLUMBIA,15,2020-12-19
47,COLLIER,76,2020-12-19
48,CLAY,57,2020-12-19
49,CITRUS,41,2020-12-19
50,CHARLOTTE,99,2020-12-19
51,CALHOUN,0,2020-12-19
52,BROWARD,498,2020-12-19
53,BREVARD,78,2020-12-19
54,BRADFORD,0,2020-12-19
55,BAY,67,2020-12-19
56,BAKER,4,2020-12-19
57,ALACHUA,122,2020-12-19
