,County,COVID Hospitalizations,Date
0,WASHINGTON,10,2020-12-09
1,WALTON,10,2020-12-09
2,VOLUSIA,100,2020-12-09
3,UNION,0,2020-12-09
4,TAYLOR,0,2020-12-09
5,SUWANNEE,0,2020-12-09
6,SUMTER,27,2020-12-09
7,ST. LUCIE,56,2020-12-09
8,ST. JOHNS,22,2020-12-09
9,SEMINOLE,57,2020-12-09
10,SARASOTA,113,2020-12-09
11,SANTA ROSA,15,2020-12-09
12,PUTNAM,14,2020-12-09
13,POLK,155,2020-12-09
14,PINELLAS,213,2020-12-09
15,PASCO,132,2020-12-09
16,PALM BEACH,312,2020-12-09
17,OSCEOLA,89,2020-12-09
18,ORANGE,214,2020-12-09
19,OKEECHOBEE,6,2020-12-09
20,OKALOOSA,60,2020-12-09
21,NASSAU,10,2020-12-09
22,MONROE,2,2020-12-09
23,MIAMI-DADE,792,2020-12-09
24,MARTIN,25,2020-12-09
25,MARION,54,2020-12-09
26,MANATEE,68,2020-12-09
27,MADISON,2,2020-12-09
28,LEON,44,2020-12-09
29,LEE,139,2020-12-09
30,LAKE,76,2020-12-09
31,JACKSON,15,2020-12-09
32,INDIAN RIVER,22,2020-12-09
33,HOLMES,3,2020-12-09
34,HILLSBOROUGH,272,2020-12-09
35,HIGHLANDS,46,2020-12-09
36,HERNANDO,54,2020-12-09
37,HENDRY,1,2020-12-09
38,HARDEE,0,2020-12-09
39,GULF,2,2020-12-09
40,GADSDEN,0,2020-12-09
41,FRANKLIN,0,2020-12-09
42,FLAGLER,12,2020-12-09
43,ESCAMBIA,111,2020-12-09
44,DUVAL,245,2020-12-09
45,DESOTO,4,2020-12-09
46,COLUMBIA,23,2020-12-09
47,COLLIER,89,2020-12-09
48,CLAY,62,2020-12-09
49,CITRUS,54,2020-12-09
50,CHARLOTTE,90,2020-12-09
51,CALHOUN,2,2020-12-09
52,BROWARD,411,2020-12-09
53,BREVARD,83,2020-12-09
54,BRADFORD,0,2020-12-09
55,BAY,38,2020-12-09
56,BAKER,3,2020-12-09
57,ALACHUA,100,2020-12-09
