,County,COVID Hospitalizations,Date
0,WASHINGTON,4,2020-12-16
1,WALTON,10,2020-12-16
2,VOLUSIA,110,2020-12-16
3,UNION,0,2020-12-16
4,TAYLOR,0,2020-12-16
5,SUWANNEE,0,2020-12-16
6,SUMTER,40,2020-12-16
7,ST. LUCIE,84,2020-12-16
8,ST. JOHNS,23,2020-12-16
9,SEMINOLE,75,2020-12-16
10,SARASOTA,126,2020-12-16
11,SANTA ROSA,12,2020-12-16
12,PUTNAM,15,2020-12-16
13,POLK,152,2020-12-16
14,PINELLAS,241,2020-12-16
15,PASCO,145,2020-12-16
16,PALM BEACH,280,2020-12-16
17,OSCEOLA,128,2020-12-16
18,ORANGE,240,2020-12-16
19,OKEECHOBEE,10,2020-12-16
20,OKALOOSA,57,2020-12-16
21,NASSAU,10,2020-12-16
22,MONROE,3,2020-12-16
23,MIAMI-DADE,914,2020-12-16
24,MARTIN,31,2020-12-16
25,MARION,80,2020-12-16
26,MANATEE,56,2020-12-16
27,MADISON,0,2020-12-16
28,LEON,46,2020-12-16
29,LEE,130,2020-12-16
30,LAKE,97,2020-12-16
31,JACKSON,15,2020-12-16
32,INDIAN RIVER,19,2020-12-16
33,HOLMES,4,2020-12-16
34,HILLSBOROUGH,307,2020-12-16
35,HIGHLANDS,66,2020-12-16
36,HERNANDO,71,2020-12-16
37,HENDRY,3,2020-12-16
38,HARDEE,0,2020-12-16
39,GULF,1,2020-12-16
40,GADSDEN,0,2020-12-16
41,FRANKLIN,0,2020-12-16
42,FLAGLER,17,2020-12-16
43,ESCAMBIA,116,2020-12-16
44,DUVAL,297,2020-12-16
45,DESOTO,5,2020-12-16
46,COLUMBIA,18,2020-12-16
47,COLLIER,102,2020-12-16
48,CLAY,63,2020-12-16
49,CITRUS,47,2020-12-16
50,CHARLOTTE,88,2020-12-16
51,CALHOUN,1,2020-12-16
52,BROWARD,513,2020-12-16
53,BREVARD,82,2020-12-16
54,BRADFORD,0,2020-12-16
55,BAY,69,2020-12-16
56,BAKER,8,2020-12-16
57,ALACHUA,125,2020-12-16
