,County,COVID Hospitalizations,Date
0,WASHINGTON,1,2020-09-27
1,WALTON,3,2020-09-27
2,VOLUSIA,50,2020-09-27
3,UNION,11,2020-09-27
4,TAYLOR,0,2020-09-27
5,SUWANNEE,0,2020-09-27
6,SUMTER,10,2020-09-27
7,ST. LUCIE,51,2020-09-27
8,ST. JOHNS,13,2020-09-27
9,SEMINOLE,31,2020-09-27
10,SARASOTA,28,2020-09-27
11,SANTA ROSA,2,2020-09-27
12,PUTNAM,7,2020-09-27
13,POLK,78,2020-09-27
14,PINELLAS,100,2020-09-27
15,PASCO,36,2020-09-27
16,PALM BEACH,121,2020-09-27
17,OSCEOLA,68,2020-09-27
18,ORANGE,114,2020-09-27
19,OKEECHOBEE,10,2020-09-27
20,OKALOOSA,16,2020-09-27
21,NASSAU,1,2020-09-27
22,MONROE,3,2020-09-27
23,MIAMI-DADE,269,2020-09-27
24,MARTIN,20,2020-09-27
25,MARION,29,2020-09-27
26,MANATEE,18,2020-09-27
27,MADISON,0,2020-09-27
28,LEON,41,2020-09-27
29,LEE,49,2020-09-27
30,LAKE,30,2020-09-27
31,JACKSON,6,2020-09-27
32,INDIAN RIVER,7,2020-09-27
33,HOLMES,-1,2020-09-27
34,HILLSBOROUGH,157,2020-09-27
35,HIGHLANDS,25,2020-09-27
36,HERNANDO,22,2020-09-27
37,HENDRY,1,2020-09-27
38,HARDEE,0,2020-09-27
39,GULF,0,2020-09-27
40,GADSDEN,29,2020-09-27
41,FRANKLIN,0,2020-09-27
42,FLAGLER,12,2020-09-27
43,ESCAMBIA,37,2020-09-27
44,DUVAL,123,2020-09-27
45,DESOTO,0,2020-09-27
46,COLUMBIA,15,2020-09-27
47,COLLIER,23,2020-09-27
48,CLAY,36,2020-09-27
49,CITRUS,20,2020-09-27
50,CHARLOTTE,25,2020-09-27
51,CALHOUN,0,2020-09-27
52,BROWARD,202,2020-09-27
53,BREVARD,58,2020-09-27
54,BRADFORD,0,2020-09-27
55,BAY,20,2020-09-27
56,BAKER,7,2020-09-27
57,ALACHUA,76,2020-09-27
