,County,COVID Hospitalizations,Date
0,WASHINGTON,8,2020-08-16
1,WALTON,9,2020-08-16
2,VOLUSIA,117,2020-08-16
3,UNION,0,2020-08-16
4,TAYLOR,1,2020-08-16
5,SUWANNEE,0,2020-08-16
6,SUMTER,20,2020-08-16
7,ST. LUCIE,106,2020-08-16
8,ST. JOHNS,21,2020-08-16
9,SEMINOLE,80,2020-08-16
10,SARASOTA,87,2020-08-16
11,SANTA ROSA,17,2020-08-16
12,PUTNAM,9,2020-08-16
13,POLK,168,2020-08-16
14,PINELLAS,219,2020-08-16
15,PASCO,70,2020-08-16
16,PALM BEACH,368,2020-08-16
17,OSCEOLA,98,2020-08-16
18,ORANGE,263,2020-08-16
19,OKEECHOBEE,11,2020-08-16
20,OKALOOSA,42,2020-08-16
21,NASSAU,6,2020-08-16
22,MONROE,11,2020-08-16
23,MIAMI-DADE,1145,2020-08-16
24,MARTIN,19,2020-08-16
25,MARION,120,2020-08-16
26,MANATEE,61,2020-08-16
27,MADISON,0,2020-08-16
28,LEON,85,2020-08-16
29,LEE,152,2020-08-16
30,LAKE,80,2020-08-16
31,JACKSON,12,2020-08-16
32,INDIAN RIVER,18,2020-08-16
33,HOLMES,2,2020-08-16
34,HILLSBOROUGH,292,2020-08-16
35,HIGHLANDS,44,2020-08-16
36,HERNANDO,43,2020-08-16
37,HENDRY,3,2020-08-16
38,HARDEE,0,2020-08-16
39,GULF,2,2020-08-16
40,GADSDEN,126,2020-08-16
41,FRANKLIN,0,2020-08-16
42,FLAGLER,15,2020-08-16
43,ESCAMBIA,137,2020-08-16
44,DUVAL,310,2020-08-16
45,DESOTO,2,2020-08-16
46,COLUMBIA,26,2020-08-16
47,COLLIER,105,2020-08-16
48,CLAY,61,2020-08-16
49,CITRUS,32,2020-08-16
50,CHARLOTTE,43,2020-08-16
51,CALHOUN,0,2020-08-16
52,BROWARD,728,2020-08-16
53,BREVARD,106,2020-08-16
54,BRADFORD,0,2020-08-16
55,BAY,62,2020-08-16
56,BAKER,2,2020-08-16
57,ALACHUA,126,2020-08-16
