,County,COVID Hospitalizations,Date
0,WASHINGTON,3,2020-10-26
1,WALTON,7,2020-10-26
2,VOLUSIA,48,2020-10-26
3,UNION,13,2020-10-26
4,TAYLOR,0,2020-10-26
5,SUWANNEE,0,2020-10-26
6,SUMTER,12,2020-10-26
7,ST. LUCIE,46,2020-10-26
8,ST. JOHNS,4,2020-10-26
9,SEMINOLE,36,2020-10-26
10,SARASOTA,40,2020-10-26
11,SANTA ROSA,5,2020-10-26
12,PUTNAM,2,2020-10-26
13,POLK,81,2020-10-26
14,PINELLAS,127,2020-10-26
15,PASCO,42,2020-10-26
16,PALM BEACH,131,2020-10-26
17,OSCEOLA,77,2020-10-26
18,ORANGE,137,2020-10-26
19,OKEECHOBEE,4,2020-10-26
20,OKALOOSA,30,2020-10-26
21,NASSAU,1,2020-10-26
22,MONROE,6,2020-10-26
23,MIAMI-DADE,318,2020-10-26
24,MARTIN,12,2020-10-26
25,MARION,29,2020-10-26
26,MANATEE,29,2020-10-26
27,MADISON,0,2020-10-26
28,LEON,40,2020-10-26
29,LEE,54,2020-10-26
30,LAKE,41,2020-10-26
31,JACKSON,11,2020-10-26
32,INDIAN RIVER,17,2020-10-26
33,HOLMES,5,2020-10-26
34,HILLSBOROUGH,148,2020-10-26
35,HIGHLANDS,24,2020-10-26
36,HERNANDO,31,2020-10-26
37,HENDRY,2,2020-10-26
38,HARDEE,0,2020-10-26
39,GULF,0,2020-10-26
40,GADSDEN,4,2020-10-26
41,FRANKLIN,0,2020-10-26
42,FLAGLER,4,2020-10-26
43,ESCAMBIA,40,2020-10-26
44,DUVAL,113,2020-10-26
45,DESOTO,0,2020-10-26
46,COLUMBIA,21,2020-10-26
47,COLLIER,31,2020-10-26
48,CLAY,32,2020-10-26
49,CITRUS,21,2020-10-26
50,CHARLOTTE,35,2020-10-26
51,CALHOUN,1,2020-10-26
52,BROWARD,199,2020-10-26
53,BREVARD,60,2020-10-26
54,BRADFORD,0,2020-10-26
55,BAY,11,2020-10-26
56,BAKER,1,2020-10-26
57,ALACHUA,60,2020-10-26
