,County,COVID Hospitalizations,Date
0,WASHINGTON,2,2020-10-19
1,WALTON,9,2020-10-19
2,VOLUSIA,51,2020-10-19
3,UNION,14,2020-10-19
4,TAYLOR,0,2020-10-19
5,SUWANNEE,0,2020-10-19
6,SUMTER,15,2020-10-19
7,ST. LUCIE,37,2020-10-19
8,ST. JOHNS,10,2020-10-19
9,SEMINOLE,30,2020-10-19
10,SARASOTA,45,2020-10-19
11,SANTA ROSA,5,2020-10-19
12,PUTNAM,5,2020-10-19
13,POLK,76,2020-10-19
14,PINELLAS,115,2020-10-19
15,PASCO,43,2020-10-19
16,PALM BEACH,99,2020-10-19
17,OSCEOLA,79,2020-10-19
18,ORANGE,122,2020-10-19
19,OKEECHOBEE,6,2020-10-19
20,OKALOOSA,19,2020-10-19
21,NASSAU,1,2020-10-19
22,MONROE,7,2020-10-19
23,MIAMI-DADE,265,2020-10-19
24,MARTIN,5,2020-10-19
25,MARION,31,2020-10-19
26,MANATEE,27,2020-10-19
27,MADISON,0,2020-10-19
28,LEON,32,2020-10-19
29,LEE,47,2020-10-19
30,LAKE,34,2020-10-19
31,JACKSON,6,2020-10-19
32,INDIAN RIVER,6,2020-10-19
33,HOLMES,0,2020-10-19
34,HILLSBOROUGH,139,2020-10-19
35,HIGHLANDS,18,2020-10-19
36,HERNANDO,24,2020-10-19
37,HENDRY,3,2020-10-19
38,HARDEE,0,2020-10-19
39,GULF,0,2020-10-19
40,GADSDEN,7,2020-10-19
41,FRANKLIN,0,2020-10-19
42,FLAGLER,9,2020-10-19
43,ESCAMBIA,32,2020-10-19
44,DUVAL,118,2020-10-19
45,DESOTO,1,2020-10-19
46,COLUMBIA,25,2020-10-19
47,COLLIER,25,2020-10-19
48,CLAY,31,2020-10-19
49,CITRUS,22,2020-10-19
50,CHARLOTTE,27,2020-10-19
51,CALHOUN,0,2020-10-19
52,BROWARD,188,2020-10-19
53,BREVARD,66,2020-10-19
54,BRADFORD,0,2020-10-19
55,BAY,18,2020-10-19
56,BAKER,2,2020-10-19
57,ALACHUA,60,2020-10-19
