,County,COVID Hospitalizations,Date
0,WASHINGTON,7,12/23/2020
1,WALTON,17,12/23/2020
2,VOLUSIA,102,12/23/2020
3,UNION,0,12/23/2020
4,TAYLOR,0,12/23/2020
5,SUWANNEE,0,12/23/2020
6,SUMTER,42,12/23/2020
7,ST. LUCIE,94,12/23/2020
8,ST. JOHNS,26,12/23/2020
9,SEMINOLE,84,12/23/2020
10,SARASOTA,123,12/23/2020
11,SANTA ROSA,30,12/23/2020
12,PUTNAM,15,12/23/2020
13,POLK,192,12/23/2020
14,PINELLAS,260,12/23/2020
15,PASCO,164,12/23/2020
16,PALM BEACH,312,12/23/2020
17,OSCEOLA,125,12/23/2020
18,ORANGE,305,12/23/2020
19,OKEECHOBEE,10,12/23/2020
20,OKALOOSA,44,12/23/2020
21,NASSAU,14,12/23/2020
22,MONROE,3,12/23/2020
23,MIAMI-DADE,981,12/23/2020
24,MARTIN,34,12/23/2020
25,MARION,94,12/23/2020
26,MANATEE,68,12/23/2020
27,MADISON,0,12/23/2020
28,LEON,68,12/23/2020
29,LEE,118,12/23/2020
30,LAKE,131,12/23/2020
31,JACKSON,6,12/23/2020
32,INDIAN RIVER,24,12/23/2020
33,HOLMES,3,12/23/2020
34,HILLSBOROUGH,367,12/23/2020
35,HIGHLANDS,57,12/23/2020
36,HERNANDO,69,12/23/2020
37,HENDRY,3,12/23/2020
38,HARDEE,0,12/23/2020
39,GULF,4,12/23/2020
40,GADSDEN,0,12/23/2020
41,FRANKLIN,0,12/23/2020
42,FLAGLER,12,12/23/2020
43,ESCAMBIA,124,12/23/2020
44,DUVAL,324,12/23/2020
45,DESOTO,7,12/23/2020
46,COLUMBIA,21,12/23/2020
47,COLLIER,80,12/23/2020
48,CLAY,75,12/23/2020
49,CITRUS,39,12/23/2020
50,CHARLOTTE,88,12/23/2020
51,CALHOUN,0,12/23/2020
52,BROWARD,506,12/23/2020
53,BREVARD,91,12/23/2020
54,BRADFORD,0,12/23/2020
55,BAY,81,12/23/2020
56,BAKER,2,12/23/2020
57,ALACHUA,148,12/23/2020
