,County,COVID Hospitalizations,Date
0,WASHINGTON,0,2020-09-23
1,WALTON,5,2020-09-23
2,VOLUSIA,61,2020-09-23
3,UNION,10,2020-09-23
4,TAYLOR,0,2020-09-23
5,SUWANNEE,0,2020-09-23
6,SUMTER,11,2020-09-23
7,ST. LUCIE,49,2020-09-23
8,ST. JOHNS,11,2020-09-23
9,SEMINOLE,27,2020-09-23
10,SARASOTA,42,2020-09-23
11,SANTA ROSA,1,2020-09-23
12,PUTNAM,5,2020-09-23
13,POLK,110,2020-09-23
14,PINELLAS,98,2020-09-23
15,PASCO,39,2020-09-23
16,PALM BEACH,133,2020-09-23
17,OSCEOLA,62,2020-09-23
18,ORANGE,119,2020-09-23
19,OKEECHOBEE,15,2020-09-23
20,OKALOOSA,16,2020-09-23
21,NASSAU,2,2020-09-23
22,MONROE,3,2020-09-23
23,MIAMI-DADE,315,2020-09-23
24,MARTIN,16,2020-09-23
25,MARION,38,2020-09-23
26,MANATEE,14,2020-09-23
27,MADISON,0,2020-09-23
28,LEON,52,2020-09-23
29,LEE,55,2020-09-23
30,LAKE,28,2020-09-23
31,JACKSON,5,2020-09-23
32,INDIAN RIVER,4,2020-09-23
33,HOLMES,0,2020-09-23
34,HILLSBOROUGH,147,2020-09-23
35,HIGHLANDS,29,2020-09-23
36,HERNANDO,21,2020-09-23
37,HENDRY,4,2020-09-23
38,HARDEE,0,2020-09-23
39,GULF,0,2020-09-23
40,GADSDEN,25,2020-09-23
41,FRANKLIN,0,2020-09-23
42,FLAGLER,14,2020-09-23
43,ESCAMBIA,37,2020-09-23
44,DUVAL,128,2020-09-23
45,DESOTO,0,2020-09-23
46,COLUMBIA,17,2020-09-23
47,COLLIER,28,2020-09-23
48,CLAY,30,2020-09-23
49,CITRUS,21,2020-09-23
50,CHARLOTTE,33,2020-09-23
51,CALHOUN,0,2020-09-23
52,BROWARD,220,2020-09-23
53,BREVARD,44,2020-09-23
54,BRADFORD,0,2020-09-23
55,BAY,20,2020-09-23
56,BAKER,11,2020-09-23
57,ALACHUA,79,2020-09-23
