,County,COVID Hospitalizations,Date
0,WASHINGTON,5,2020-11-13
1,WALTON,14,2020-11-13
2,VOLUSIA,58,2020-11-13
3,UNION,2,2020-11-13
4,TAYLOR,0,2020-11-13
5,SUWANNEE,0,2020-11-13
6,SUMTER,17,2020-11-13
7,ST. LUCIE,47,2020-11-13
8,ST. JOHNS,9,2020-11-13
9,SEMINOLE,47,2020-11-13
10,SARASOTA,86,2020-11-13
11,SANTA ROSA,8,2020-11-13
12,PUTNAM,11,2020-11-13
13,POLK,91,2020-11-13
14,PINELLAS,158,2020-11-13
15,PASCO,93,2020-11-13
16,PALM BEACH,232,2020-11-13
17,OSCEOLA,79,2020-11-13
18,ORANGE,131,2020-11-13
19,OKEECHOBEE,5,2020-11-13
20,OKALOOSA,43,2020-11-13
21,NASSAU,2,2020-11-13
22,MONROE,6,2020-11-13
23,MIAMI-DADE,433,2020-11-13
24,MARTIN,11,2020-11-13
25,MARION,40,2020-11-13
26,MANATEE,29,2020-11-13
27,MADISON,0,2020-11-13
28,LEON,30,2020-11-13
29,LEE,76,2020-11-13
30,LAKE,41,2020-11-13
31,JACKSON,26,2020-11-13
32,INDIAN RIVER,14,2020-11-13
33,HOLMES,0,2020-11-13
34,HILLSBOROUGH,199,2020-11-13
35,HIGHLANDS,54,2020-11-13
36,HERNANDO,49,2020-11-13
37,HENDRY,1,2020-11-13
38,HARDEE,0,2020-11-13
39,GULF,0,2020-11-13
40,GADSDEN,0,2020-11-13
41,FRANKLIN,0,2020-11-13
42,FLAGLER,9,2020-11-13
43,ESCAMBIA,68,2020-11-13
44,DUVAL,199,2020-11-13
45,DESOTO,2,2020-11-13
46,COLUMBIA,8,2020-11-13
47,COLLIER,69,2020-11-13
48,CLAY,31,2020-11-13
49,CITRUS,34,2020-11-13
50,CHARLOTTE,50,2020-11-13
51,CALHOUN,0,2020-11-13
52,BROWARD,307,2020-11-13
53,BREVARD,78,2020-11-13
54,BRADFORD,0,2020-11-13
55,BAY,28,2020-11-13
56,BAKER,1,2020-11-13
57,ALACHUA,69,2020-11-13
