,County,COVID Hospitalizations,Date
0,WASHINGTON,9,2020-11-29
1,WALTON,4,2020-11-29
2,VOLUSIA,79,2020-11-29
3,UNION,1,2020-11-29
4,TAYLOR,2,2020-11-29
5,SUWANNEE,0,2020-11-29
6,SUMTER,20,2020-11-29
7,ST. LUCIE,61,2020-11-29
8,ST. JOHNS,18,2020-11-29
9,SEMINOLE,58,2020-11-29
10,SARASOTA,92,2020-11-29
11,SANTA ROSA,15,2020-11-29
12,PUTNAM,8,2020-11-29
13,POLK,130,2020-11-29
14,PINELLAS,195,2020-11-29
15,PASCO,120,2020-11-29
16,PALM BEACH,279,2020-11-29
17,OSCEOLA,96,2020-11-29
18,ORANGE,183,2020-11-29
19,OKEECHOBEE,10,2020-11-29
20,OKALOOSA,48,2020-11-29
21,NASSAU,2,2020-11-29
22,MONROE,9,2020-11-29
23,MIAMI-DADE,621,2020-11-29
24,MARTIN,22,2020-11-29
25,MARION,55,2020-11-29
26,MANATEE,43,2020-11-29
27,MADISON,-1,2020-11-29
28,LEON,36,2020-11-29
29,LEE,114,2020-11-29
30,LAKE,72,2020-11-29
31,JACKSON,25,2020-11-29
32,INDIAN RIVER,20,2020-11-29
33,HOLMES,3,2020-11-29
34,HILLSBOROUGH,267,2020-11-29
35,HIGHLANDS,51,2020-11-29
36,HERNANDO,64,2020-11-29
37,HENDRY,1,2020-11-29
38,HARDEE,0,2020-11-29
39,GULF,1,2020-11-29
40,GADSDEN,0,2020-11-29
41,FRANKLIN,0,2020-11-29
42,FLAGLER,12,2020-11-29
43,ESCAMBIA,86,2020-11-29
44,DUVAL,198,2020-11-29
45,DESOTO,6,2020-11-29
46,COLUMBIA,23,2020-11-29
47,COLLIER,87,2020-11-29
48,CLAY,47,2020-11-29
49,CITRUS,63,2020-11-29
50,CHARLOTTE,60,2020-11-29
51,CALHOUN,1,2020-11-29
52,BROWARD,408,2020-11-29
53,BREVARD,83,2020-11-29
54,BRADFORD,0,2020-11-29
55,BAY,36,2020-11-29
56,BAKER,0,2020-11-29
57,ALACHUA,118,2020-11-29
