,County,COVID Hospitalizations,Date
0,WASHINGTON,4,2020-08-25
1,WALTON,4,2020-08-25
2,VOLUSIA,84,2020-08-25
3,UNION,6,2020-08-25
4,TAYLOR,0,2020-08-25
5,SUWANNEE,0,2020-08-25
6,SUMTER,12,2020-08-25
7,ST. LUCIE,83,2020-08-25
8,ST. JOHNS,13,2020-08-25
9,SEMINOLE,77,2020-08-25
10,SARASOTA,69,2020-08-25
11,SANTA ROSA,18,2020-08-25
12,PUTNAM,6,2020-08-25
13,POLK,156,2020-08-25
14,PINELLAS,131,2020-08-25
15,PASCO,43,2020-08-25
16,PALM BEACH,243,2020-08-25
17,OSCEOLA,85,2020-08-25
18,ORANGE,228,2020-08-25
19,OKEECHOBEE,10,2020-08-25
20,OKALOOSA,34,2020-08-25
21,NASSAU,5,2020-08-25
22,MONROE,4,2020-08-25
23,MIAMI-DADE,831,2020-08-25
24,MARTIN,23,2020-08-25
25,MARION,98,2020-08-25
26,MANATEE,33,2020-08-25
27,MADISON,0,2020-08-25
28,LEON,82,2020-08-25
29,LEE,136,2020-08-25
30,LAKE,80,2020-08-25
31,JACKSON,11,2020-08-25
32,INDIAN RIVER,11,2020-08-25
33,HOLMES,4,2020-08-25
34,HILLSBOROUGH,235,2020-08-25
35,HIGHLANDS,20,2020-08-25
36,HERNANDO,34,2020-08-25
37,HENDRY,2,2020-08-25
38,HARDEE,0,2020-08-25
39,GULF,0,2020-08-25
40,GADSDEN,165,2020-08-25
41,FRANKLIN,0,2020-08-25
42,FLAGLER,8,2020-08-25
43,ESCAMBIA,123,2020-08-25
44,DUVAL,259,2020-08-25
45,DESOTO,2,2020-08-25
46,COLUMBIA,21,2020-08-25
47,COLLIER,67,2020-08-25
48,CLAY,54,2020-08-25
49,CITRUS,29,2020-08-25
50,CHARLOTTE,41,2020-08-25
51,CALHOUN,1,2020-08-25
52,BROWARD,584,2020-08-25
53,BREVARD,99,2020-08-25
54,BRADFORD,0,2020-08-25
55,BAY,66,2020-08-25
56,BAKER,1,2020-08-25
57,ALACHUA,110,2020-08-25
