,County,COVID Hospitalizations,Date
0,WASHINGTON,2,2020-09-13
1,WALTON,6,2020-09-13
2,VOLUSIA,56,2020-09-13
3,UNION,12,2020-09-13
4,TAYLOR,0,2020-09-13
5,SUWANNEE,0,2020-09-13
6,SUMTER,10,2020-09-13
7,ST. LUCIE,58,2020-09-13
8,ST. JOHNS,10,2020-09-13
9,SEMINOLE,32,2020-09-13
10,SARASOTA,36,2020-09-13
11,SANTA ROSA,6,2020-09-13
12,PUTNAM,7,2020-09-13
13,POLK,99,2020-09-13
14,PINELLAS,107,2020-09-13
15,PASCO,22,2020-09-13
16,PALM BEACH,153,2020-09-13
17,OSCEOLA,54,2020-09-13
18,ORANGE,108,2020-09-13
19,OKEECHOBEE,16,2020-09-13
20,OKALOOSA,19,2020-09-13
21,NASSAU,3,2020-09-13
22,MONROE,4,2020-09-13
23,MIAMI-DADE,416,2020-09-13
24,MARTIN,12,2020-09-13
25,MARION,59,2020-09-13
26,MANATEE,21,2020-09-13
27,MADISON,0,2020-09-13
28,LEON,59,2020-09-13
29,LEE,69,2020-09-13
30,LAKE,39,2020-09-13
31,JACKSON,10,2020-09-13
32,INDIAN RIVER,5,2020-09-13
33,HOLMES,0,2020-09-13
34,HILLSBOROUGH,159,2020-09-13
35,HIGHLANDS,27,2020-09-13
36,HERNANDO,24,2020-09-13
37,HENDRY,2,2020-09-13
38,HARDEE,0,2020-09-13
39,GULF,1,2020-09-13
40,GADSDEN,57,2020-09-13
41,FRANKLIN,0,2020-09-13
42,FLAGLER,12,2020-09-13
43,ESCAMBIA,61,2020-09-13
44,DUVAL,161,2020-09-13
45,DESOTO,0,2020-09-13
46,COLUMBIA,9,2020-09-13
47,COLLIER,32,2020-09-13
48,CLAY,38,2020-09-13
49,CITRUS,25,2020-09-13
50,CHARLOTTE,24,2020-09-13
51,CALHOUN,0,2020-09-13
52,BROWARD,288,2020-09-13
53,BREVARD,61,2020-09-13
54,BRADFORD,0,2020-09-13
55,BAY,22,2020-09-13
56,BAKER,34,2020-09-13
57,ALACHUA,88,2020-09-13
