,County,COVID Hospitalizations,Date
0,ALACHUA,46,2020-07-05
1,BAKER,10,2020-07-05
2,BAY,23,2020-07-05
3,BRADFORD,0,2020-07-05
4,BREVARD,73,2020-07-05
5,BROWARD,224,2020-07-05
6,CALHOUN,0,2020-07-05
7,CHARLOTTE,23,2020-07-05
8,CITRUS,8,2020-07-05
9,CLAY,37,2020-07-05
10,COLLIER,138,2020-07-05
11,COLUMBIA,21,2020-07-05
12,DESOTO,5,2020-07-05
13,DUVAL,292,2020-07-05
14,ESCAMBIA,108,2020-07-05
15,FLAGLER,11,2020-07-05
16,FRANKLIN,0,2020-07-05
17,GADSDEN,0,2020-07-05
18,GULF,1,2020-07-05
19,HARDEE,0,2020-07-05
20,HENDRY,2,2020-07-05
21,HERNANDO,27,2020-07-05
22,HIGHLANDS,23,2020-07-05
23,HILLSBOROUGH,383,2020-07-05
24,HOLMES,0,2020-07-05
25,INDIAN RIVER,19,2020-07-05
26,JACKSON,3,2020-07-05
27,LAKE,87,2020-07-05
28,LEE,298,2020-07-05
29,LEON,35,2020-07-05
30,MADISON,2,2020-07-05
31,MANATEE,51,2020-07-05
32,MARION,45,2020-07-05
33,MARTIN,48,2020-07-05
34,MIAMI-DADE,1142,2020-07-05
35,MONROE,3,2020-07-05
36,NASSAU,4,2020-07-05
37,OKALOOSA,21,2020-07-05
38,OKEECHOBEE,19,2020-07-05
39,ORANGE,406,2020-07-05
40,OSCEOLA,148,2020-07-05
41,PALM BEACH,186,2020-07-05
42,PASCO,79,2020-07-05
43,PINELLAS,374,2020-07-05
44,POLK,193,2020-07-05
45,PUTNAM,10,2020-07-05
46,SANTA ROSA,4,2020-07-05
47,SARASOTA,89,2020-07-05
48,SEMINOLE,128,2020-07-05
49,ST. JOHNS,21,2020-07-05
50,ST. LUCIE,84,2020-07-05
51,SUMTER,10,2020-07-05
52,SUWANNEE,0,2020-07-05
53,TAYLOR,0,2020-07-05
54,UNION,0,2020-07-05
55,VOLUSIA,92,2020-07-05
56,WALTON,5,2020-07-05
57,WASHINGTON,1,2020-07-05
58,Grand Total,5062,2020-07-05
