,County,COVID Hospitalizations,Date
0,WASHINGTON,3,2020-09-06
1,WALTON,4,2020-09-06
2,VOLUSIA,53,2020-09-06
3,UNION,12,2020-09-06
4,TAYLOR,0,2020-09-06
5,SUWANNEE,0,2020-09-06
6,SUMTER,14,2020-09-06
7,ST. LUCIE,47,2020-09-06
8,ST. JOHNS,10,2020-09-06
9,SEMINOLE,52,2020-09-06
10,SARASOTA,38,2020-09-06
11,SANTA ROSA,9,2020-09-06
12,PUTNAM,2,2020-09-06
13,POLK,100,2020-09-06
14,PINELLAS,145,2020-09-06
15,PASCO,37,2020-09-06
16,PALM BEACH,172,2020-09-06
17,OSCEOLA,54,2020-09-06
18,ORANGE,147,2020-09-06
19,OKEECHOBEE,12,2020-09-06
20,OKALOOSA,24,2020-09-06
21,NASSAU,5,2020-09-06
22,MONROE,2,2020-09-06
23,MIAMI-DADE,547,2020-09-06
24,MARTIN,14,2020-09-06
25,MARION,66,2020-09-06
26,MANATEE,20,2020-09-06
27,MADISON,0,2020-09-06
28,LEON,69,2020-09-06
29,LEE,101,2020-09-06
30,LAKE,57,2020-09-06
31,JACKSON,7,2020-09-06
32,INDIAN RIVER,10,2020-09-06
33,HOLMES,0,2020-09-06
34,HILLSBOROUGH,167,2020-09-06
35,HIGHLANDS,22,2020-09-06
36,HERNANDO,24,2020-09-06
37,HENDRY,2,2020-09-06
38,HARDEE,0,2020-09-06
39,GULF,2,2020-09-06
40,GADSDEN,124,2020-09-06
41,FRANKLIN,1,2020-09-06
42,FLAGLER,10,2020-09-06
43,ESCAMBIA,79,2020-09-06
44,DUVAL,197,2020-09-06
45,DESOTO,3,2020-09-06
46,COLUMBIA,14,2020-09-06
47,COLLIER,37,2020-09-06
48,CLAY,36,2020-09-06
49,CITRUS,22,2020-09-06
50,CHARLOTTE,31,2020-09-06
51,CALHOUN,0,2020-09-06
52,BROWARD,350,2020-09-06
53,BREVARD,66,2020-09-06
54,BRADFORD,0,2020-09-06
55,BAY,25,2020-09-06
56,BAKER,30,2020-09-06
57,ALACHUA,87,2020-09-06
