,County,COVID Hospitalizations,Date
0,WASHINGTON,2,2020-11-19
1,WALTON,10,2020-11-19
2,VOLUSIA,78,2020-11-19
3,UNION,2,2020-11-19
4,TAYLOR,1,2020-11-19
5,SUWANNEE,0,2020-11-19
6,SUMTER,12,2020-11-19
7,ST. LUCIE,44,2020-11-19
8,ST. JOHNS,11,2020-11-19
9,SEMINOLE,53,2020-11-19
10,SARASOTA,113,2020-11-19
11,SANTA ROSA,16,2020-11-19
12,PUTNAM,8,2020-11-19
13,POLK,108,2020-11-19
14,PINELLAS,163,2020-11-19
15,PASCO,92,2020-11-19
16,PALM BEACH,232,2020-11-19
17,OSCEOLA,79,2020-11-19
18,ORANGE,189,2020-11-19
19,OKEECHOBEE,10,2020-11-19
20,OKALOOSA,40,2020-11-19
21,NASSAU,2,2020-11-19
22,MONROE,8,2020-11-19
23,MIAMI-DADE,460,2020-11-19
24,MARTIN,9,2020-11-19
25,MARION,48,2020-11-19
26,MANATEE,34,2020-11-19
27,MADISON,0,2020-11-19
28,LEON,40,2020-11-19
29,LEE,78,2020-11-19
30,LAKE,49,2020-11-19
31,JACKSON,19,2020-11-19
32,INDIAN RIVER,14,2020-11-19
33,HOLMES,1,2020-11-19
34,HILLSBOROUGH,231,2020-11-19
35,HIGHLANDS,62,2020-11-19
36,HERNANDO,53,2020-11-19
37,HENDRY,2,2020-11-19
38,HARDEE,0,2020-11-19
39,GULF,1,2020-11-19
40,GADSDEN,0,2020-11-19
41,FRANKLIN,0,2020-11-19
42,FLAGLER,8,2020-11-19
43,ESCAMBIA,55,2020-11-19
44,DUVAL,186,2020-11-19
45,DESOTO,14,2020-11-19
46,COLUMBIA,22,2020-11-19
47,COLLIER,62,2020-11-19
48,CLAY,40,2020-11-19
49,CITRUS,62,2020-11-19
50,CHARLOTTE,40,2020-11-19
51,CALHOUN,0,2020-11-19
52,BROWARD,328,2020-11-19
53,BREVARD,75,2020-11-19
54,BRADFORD,0,2020-11-19
55,BAY,29,2020-11-19
56,BAKER,0,2020-11-19
57,ALACHUA,88,2020-11-19
