,County,COVID Hospitalizations,Date
0,WASHINGTON,4,2020-11-12
1,WALTON,13,2020-11-12
2,VOLUSIA,57,2020-11-12
3,UNION,2,2020-11-12
4,TAYLOR,0,2020-11-12
5,SUWANNEE,0,2020-11-12
6,SUMTER,15,2020-11-12
7,ST. LUCIE,40,2020-11-12
8,ST. JOHNS,8,2020-11-12
9,SEMINOLE,44,2020-11-12
10,SARASOTA,81,2020-11-12
11,SANTA ROSA,5,2020-11-12
12,PUTNAM,11,2020-11-12
13,POLK,89,2020-11-12
14,PINELLAS,167,2020-11-12
15,PASCO,92,2020-11-12
16,PALM BEACH,221,2020-11-12
17,OSCEOLA,80,2020-11-12
18,ORANGE,154,2020-11-12
19,OKEECHOBEE,6,2020-11-12
20,OKALOOSA,45,2020-11-12
21,NASSAU,3,2020-11-12
22,MONROE,5,2020-11-12
23,MIAMI-DADE,431,2020-11-12
24,MARTIN,9,2020-11-12
25,MARION,33,2020-11-12
26,MANATEE,33,2020-11-12
27,MADISON,0,2020-11-12
28,LEON,33,2020-11-12
29,LEE,74,2020-11-12
30,LAKE,33,2020-11-12
31,JACKSON,23,2020-11-12
32,INDIAN RIVER,15,2020-11-12
33,HOLMES,1,2020-11-12
34,HILLSBOROUGH,225,2020-11-12
35,HIGHLANDS,55,2020-11-12
36,HERNANDO,41,2020-11-12
37,HENDRY,1,2020-11-12
38,HARDEE,0,2020-11-12
39,GULF,0,2020-11-12
40,GADSDEN,0,2020-11-12
41,FRANKLIN,0,2020-11-12
42,FLAGLER,7,2020-11-12
43,ESCAMBIA,63,2020-11-12
44,DUVAL,182,2020-11-12
45,DESOTO,3,2020-11-12
46,COLUMBIA,9,2020-11-12
47,COLLIER,61,2020-11-12
48,CLAY,33,2020-11-12
49,CITRUS,38,2020-11-12
50,CHARLOTTE,47,2020-11-12
51,CALHOUN,1,2020-11-12
52,BROWARD,289,2020-11-12
53,BREVARD,74,2020-11-12
54,BRADFORD,0,2020-11-12
55,BAY,31,2020-11-12
56,BAKER,1,2020-11-12
57,ALACHUA,74,2020-11-12
