,County,COVID Hospitalizations,Date
0,WASHINGTON,1,2020-10-05
1,WALTON,3,2020-10-05
2,VOLUSIA,56,2020-10-05
3,UNION,15,2020-10-05
4,TAYLOR,0,2020-10-05
5,SUWANNEE,0,2020-10-05
6,SUMTER,13,2020-10-05
7,ST. LUCIE,52,2020-10-05
8,ST. JOHNS,14,2020-10-05
9,SEMINOLE,26,2020-10-05
10,SARASOTA,26,2020-10-05
11,SANTA ROSA,5,2020-10-05
12,PUTNAM,6,2020-10-05
13,POLK,80,2020-10-05
14,PINELLAS,109,2020-10-05
15,PASCO,49,2020-10-05
16,PALM BEACH,96,2020-10-05
17,OSCEOLA,72,2020-10-05
18,ORANGE,131,2020-10-05
19,OKEECHOBEE,10,2020-10-05
20,OKALOOSA,17,2020-10-05
21,NASSAU,1,2020-10-05
22,MONROE,2,2020-10-05
23,MIAMI-DADE,267,2020-10-05
24,MARTIN,16,2020-10-05
25,MARION,29,2020-10-05
26,MANATEE,30,2020-10-05
27,MADISON,0,2020-10-05
28,LEON,43,2020-10-05
29,LEE,16,2020-10-05
30,LAKE,41,2020-10-05
31,JACKSON,7,2020-10-05
32,INDIAN RIVER,12,2020-10-05
33,HOLMES,1,2020-10-05
34,HILLSBOROUGH,161,2020-10-05
35,HIGHLANDS,24,2020-10-05
36,HERNANDO,16,2020-10-05
37,HENDRY,2,2020-10-05
38,HARDEE,0,2020-10-05
39,GULF,0,2020-10-05
40,GADSDEN,16,2020-10-05
41,FRANKLIN,0,2020-10-05
42,FLAGLER,10,2020-10-05
43,ESCAMBIA,45,2020-10-05
44,DUVAL,130,2020-10-05
45,DESOTO,0,2020-10-05
46,COLUMBIA,12,2020-10-05
47,COLLIER,25,2020-10-05
48,CLAY,30,2020-10-05
49,CITRUS,11,2020-10-05
50,CHARLOTTE,26,2020-10-05
51,CALHOUN,0,2020-10-05
52,BROWARD,204,2020-10-05
53,BREVARD,73,2020-10-05
54,BRADFORD,0,2020-10-05
55,BAY,24,2020-10-05
56,BAKER,3,2020-10-05
57,ALACHUA,52,2020-10-05
