,County,COVID Hospitalizations,Date
0,WASHINGTON,0,2020-09-25
1,WALTON,5,2020-09-25
2,VOLUSIA,52,2020-09-25
3,UNION,10,2020-09-25
4,TAYLOR,0,2020-09-25
5,SUWANNEE,0,2020-09-25
6,SUMTER,12,2020-09-25
7,ST. LUCIE,53,2020-09-25
8,ST. JOHNS,13,2020-09-25
9,SEMINOLE,30,2020-09-25
10,SARASOTA,36,2020-09-25
11,SANTA ROSA,1,2020-09-25
12,PUTNAM,7,2020-09-25
13,POLK,82,2020-09-25
14,PINELLAS,99,2020-09-25
15,PASCO,39,2020-09-25
16,PALM BEACH,128,2020-09-25
17,OSCEOLA,62,2020-09-25
18,ORANGE,117,2020-09-25
19,OKEECHOBEE,14,2020-09-25
20,OKALOOSA,13,2020-09-25
21,NASSAU,3,2020-09-25
22,MONROE,2,2020-09-25
23,MIAMI-DADE,275,2020-09-25
24,MARTIN,19,2020-09-25
25,MARION,24,2020-09-25
26,MANATEE,15,2020-09-25
27,MADISON,0,2020-09-25
28,LEON,45,2020-09-25
29,LEE,52,2020-09-25
30,LAKE,30,2020-09-25
31,JACKSON,3,2020-09-25
32,INDIAN RIVER,4,2020-09-25
33,HOLMES,1,2020-09-25
34,HILLSBOROUGH,142,2020-09-25
35,HIGHLANDS,21,2020-09-25
36,HERNANDO,25,2020-09-25
37,HENDRY,2,2020-09-25
38,HARDEE,0,2020-09-25
39,GULF,0,2020-09-25
40,GADSDEN,29,2020-09-25
41,FRANKLIN,0,2020-09-25
42,FLAGLER,14,2020-09-25
43,ESCAMBIA,33,2020-09-25
44,DUVAL,126,2020-09-25
45,DESOTO,0,2020-09-25
46,COLUMBIA,16,2020-09-25
47,COLLIER,24,2020-09-25
48,CLAY,32,2020-09-25
49,CITRUS,20,2020-09-25
50,CHARLOTTE,23,2020-09-25
51,CALHOUN,0,2020-09-25
52,BROWARD,215,2020-09-25
53,BREVARD,51,2020-09-25
54,BRADFORD,0,2020-09-25
55,BAY,21,2020-09-25
56,BAKER,7,2020-09-25
57,ALACHUA,74,2020-09-25
