,County,COVID Hospitalizations,Date
0,WASHINGTON,4,2020-07-29
1,WALTON,12,2020-07-29
2,VOLUSIA,149,2020-07-29
3,UNION,0,2020-07-29
4,TAYLOR,0,2020-07-29
5,SUWANNEE,0,2020-07-29
6,SUMTER,32,2020-07-29
7,ST. LUCIE,179,2020-07-29
8,ST. JOHNS,36,2020-07-29
9,SEMINOLE,132,2020-07-29
10,SARASOTA,145,2020-07-29
11,SANTA ROSA,27,2020-07-29
12,PUTNAM,17,2020-07-29
13,POLK,288,2020-07-29
14,PINELLAS,373,2020-07-29
15,PASCO,107,2020-07-29
16,PALM BEACH,598,2020-07-29
17,OSCEOLA,159,2020-07-29
18,ORANGE,502,2020-07-29
19,OKEECHOBEE,15,2020-07-29
20,OKALOOSA,52,2020-07-29
21,NASSAU,3,2020-07-29
22,MONROE,17,2020-07-29
23,MIAMI-DADE,1962,2020-07-29
24,MARTIN,29,2020-07-29
25,MARION,113,2020-07-29
26,MANATEE,124,2020-07-29
27,MADISON,0,2020-07-29
28,LEON,79,2020-07-29
29,LEE,200,2020-07-29
30,LAKE,102,2020-07-29
31,JACKSON,21,2020-07-29
32,INDIAN RIVER,26,2020-07-29
33,HOLMES,1,2020-07-29
34,HILLSBOROUGH,479,2020-07-29
35,HIGHLANDS,53,2020-07-29
36,HERNANDO,68,2020-07-29
37,HENDRY,7,2020-07-29
38,HARDEE,0,2020-07-29
39,GULF,4,2020-07-29
40,GADSDEN,34,2020-07-29
41,FRANKLIN,0,2020-07-29
42,FLAGLER,24,2020-07-29
43,ESCAMBIA,185,2020-07-29
44,DUVAL,466,2020-07-29
45,DESOTO,2,2020-07-29
46,COLUMBIA,31,2020-07-29
47,COLLIER,147,2020-07-29
48,CLAY,88,2020-07-29
49,CITRUS,25,2020-07-29
50,CHARLOTTE,57,2020-07-29
51,CALHOUN,0,2020-07-29
52,BROWARD,1261,2020-07-29
53,BREVARD,119,2020-07-29
54,BRADFORD,0,2020-07-29
55,BAY,85,2020-07-29
56,BAKER,35,2020-07-29
57,ALACHUA,119,2020-07-29
