,County,COVID Hospitalizations,Date
0,WASHINGTON,2,2020-09-08
1,WALTON,5,2020-09-08
2,VOLUSIA,60,2020-09-08
3,UNION,16,2020-09-08
4,TAYLOR,0,2020-09-08
5,SUWANNEE,0,2020-09-08
6,SUMTER,14,2020-09-08
7,ST. LUCIE,56,2020-09-08
8,ST. JOHNS,13,2020-09-08
9,SEMINOLE,45,2020-09-08
10,SARASOTA,38,2020-09-08
11,SANTA ROSA,9,2020-09-08
12,PUTNAM,2,2020-09-08
13,POLK,120,2020-09-08
14,PINELLAS,134,2020-09-08
15,PASCO,30,2020-09-08
16,PALM BEACH,164,2020-09-08
17,OSCEOLA,56,2020-09-08
18,ORANGE,138,2020-09-08
19,OKEECHOBEE,10,2020-09-08
20,OKALOOSA,29,2020-09-08
21,NASSAU,6,2020-09-08
22,MONROE,2,2020-09-08
23,MIAMI-DADE,541,2020-09-08
24,MARTIN,13,2020-09-08
25,MARION,61,2020-09-08
26,MANATEE,16,2020-09-08
27,MADISON,0,2020-09-08
28,LEON,69,2020-09-08
29,LEE,100,2020-09-08
30,LAKE,65,2020-09-08
31,JACKSON,8,2020-09-08
32,INDIAN RIVER,9,2020-09-08
33,HOLMES,0,2020-09-08
34,HILLSBOROUGH,169,2020-09-08
35,HIGHLANDS,22,2020-09-08
36,HERNANDO,18,2020-09-08
37,HENDRY,2,2020-09-08
38,HARDEE,0,2020-09-08
39,GULF,2,2020-09-08
40,GADSDEN,117,2020-09-08
41,FRANKLIN,0,2020-09-08
42,FLAGLER,10,2020-09-08
43,ESCAMBIA,88,2020-09-08
44,DUVAL,181,2020-09-08
45,DESOTO,3,2020-09-08
46,COLUMBIA,12,2020-09-08
47,COLLIER,46,2020-09-08
48,CLAY,36,2020-09-08
49,CITRUS,33,2020-09-08
50,CHARLOTTE,27,2020-09-08
51,CALHOUN,0,2020-09-08
52,BROWARD,341,2020-09-08
53,BREVARD,77,2020-09-08
54,BRADFORD,0,2020-09-08
55,BAY,25,2020-09-08
56,BAKER,31,2020-09-08
57,ALACHUA,85,2020-09-08
