,County,COVID Hospitalizations,Date
0,WASHINGTON,4,2020-08-30
1,WALTON,2,2020-08-30
2,VOLUSIA,59,2020-08-30
3,UNION,12,2020-08-30
4,TAYLOR,0,2020-08-30
5,SUWANNEE,0,2020-08-30
6,SUMTER,16,2020-08-30
7,ST. LUCIE,79,2020-08-30
8,ST. JOHNS,10,2020-08-30
9,SEMINOLE,56,2020-08-30
10,SARASOTA,44,2020-08-30
11,SANTA ROSA,14,2020-08-30
12,PUTNAM,9,2020-08-30
13,POLK,114,2020-08-30
14,PINELLAS,137,2020-08-30
15,PASCO,49,2020-08-30
16,PALM BEACH,169,2020-08-30
17,OSCEOLA,69,2020-08-30
18,ORANGE,176,2020-08-30
19,OKEECHOBEE,9,2020-08-30
20,OKALOOSA,27,2020-08-30
21,NASSAU,8,2020-08-30
22,MONROE,1,2020-08-30
23,MIAMI-DADE,697,2020-08-30
24,MARTIN,9,2020-08-30
25,MARION,77,2020-08-30
26,MANATEE,24,2020-08-30
27,MADISON,0,2020-08-30
28,LEON,82,2020-08-30
29,LEE,117,2020-08-30
30,LAKE,76,2020-08-30
31,JACKSON,14,2020-08-30
32,INDIAN RIVER,6,2020-08-30
33,HOLMES,0,2020-08-30
34,HILLSBOROUGH,196,2020-08-30
35,HIGHLANDS,24,2020-08-30
36,HERNANDO,28,2020-08-30
37,HENDRY,2,2020-08-30
38,HARDEE,0,2020-08-30
39,GULF,1,2020-08-30
40,GADSDEN,175,2020-08-30
41,FRANKLIN,0,2020-08-30
42,FLAGLER,7,2020-08-30
43,ESCAMBIA,101,2020-08-30
44,DUVAL,219,2020-08-30
45,DESOTO,4,2020-08-30
46,COLUMBIA,18,2020-08-30
47,COLLIER,56,2020-08-30
48,CLAY,48,2020-08-30
49,CITRUS,27,2020-08-30
50,CHARLOTTE,35,2020-08-30
51,CALHOUN,0,2020-08-30
52,BROWARD,468,2020-08-30
53,BREVARD,91,2020-08-30
54,BRADFORD,0,2020-08-30
55,BAY,37,2020-08-30
56,BAKER,1,2020-08-30
57,ALACHUA,91,2020-08-30
